,artista,listeners,playcount,biografia,artistas_similares
158,Papa Roach,3162384,102302194,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>","['P.O.D.', 'Shinedown', 'Saint Asonia', 'Three Days Grace']"
159,Tropidelic,39568,357947,"From the underbelly of Cleveland's blackened music scene rises a brazen group of innovators on a quest to crumble the walls of a genre and stimulate a new generation of creative minds. Reggae-rockers, Tropidelic, untie the knots of expectation and sow together hip-hop, funk and ska in a seamless display of unbridled realism, pulling from an amalgamation of influence never before seen in the cold Midwest. The end result is an in-your-face party suited <a href=""https://www.last.fm/music/Tropidelic"">Read more on Last.fm</a>","['Little Stranger', 'DENM', 'Bumpin Uglies', 'The Elovaters']"
160,Cole Swindell,199311,3587053,"Cole Swindell is a country music singer and songwriter. He has written singles for Craig Campbell, Thomas Rhett, Scotty McCreery, and Luke Bryan, and has released four albums for Warner Bros. Records Nashville. He has released 13 singles, eight of which have reached #1 on the Hot Country Songs and/or Country Airplay charts, with three more reaching the Top 10.

His parents are William Keith Swindell and Betty Carol Rainey. His father died unexpectedly on September 2, 2013, at 65. <a href=""https://www.last.fm/music/Cole+Swindell"">Read more on Last.fm</a>","['Chris Young', 'Lee Brice', 'Florida Georgia Line', 'Thomas Rhett']"
161,The Score,499989,12114533,"There are multiple artists under the moniker ""The Score""

1.) The Score is a pop-rock outfit straight out of Watertown, NY. The brain-child of singer-songwriter Arison Cain, the Score combines catchy hooks and melodies with a highly original style of vocal delivery reminiscent of bands such as Weatherbox and Say Anything. The band is credited with having a sound very reminiscent of 90's rock bands such as Weezer, Smoking Popes and Foo Fighters. The group self-released an EP <a href=""https://www.last.fm/music/The+Score"">Read more on Last.fm</a>","['Sam Tinnesz', 'WAR*HALL', 'Adam Jensen', 'The Unlikely Candidates']"
162,MercyMe,280017,4456269,"MercyMe is an American contemporary Christian band, originally formed in Greenville, Texas in the mid-1990s. The band signed with INO Records in 2001 and released their first album, Almost There, which propelled them into the mainstream spotlight with the smash hit ""I Can Only Imagine"". The album went on to sell more than 2 million records in only three years and earned the band an American Music Award nomination.

In 2002, the band released their popular second album, Spoken For, which produced two more Top 10 hits. <a href=""https://www.last.fm/music/MercyMe"">Read more on Last.fm</a>","['Casting Crowns', 'Matthew West', 'Big Daddy Weave', 'Jeremy Camp']"
163,Yeah Yeah Yeahs,3408264,108672658,"Yeah Yeah Yeahs is an American rock band formed in New York City in 2000. The group is composed of vocalist Karen O, guitarist Nick Zinner, and drummer Brian Chase. The band has recorded five studio albums; originally signed to independent Touch and Go Records, their first four albums were released by major record label Interscope. The first, Fever to Tell, was released in 2003. The second, Show Your Bones, was released in 2006 and was named the second best album of the year by NME. <a href=""https://www.last.fm/music/Yeah+Yeah+Yeahs"">Read more on Last.fm</a>","['The Kills', 'Metric', 'Karen O', 'The Rapture']"
164,Luke Bryan,961001,19097177,"Luke Bryan is a country singer, songwriter, and television personality. He is one of the world's best-selling music artists, with over 75 million records sold. His first ten albums – I'll Stay Me (2007), Doin' My Thing (2009), Tailgates & Tanlines (2011), Crash My Party (2013), Spring Break...Here to Party (2013), Spring Break...Checkin' Out (2015), Kill the Lights (2015), Farm Tour... Here's to the Farmer (2016), What Makes You Country (2017), and Born Here Live Here Die Here (2020) – have included 30 #1 hits. <a href=""https://www.last.fm/music/Luke+Bryan"">Read more on Last.fm</a>","['Jason Aldean', 'Florida Georgia Line', 'Lee Brice', 'Dierks Bentley']"
165,Walker Hayes,164919,1670225,"Walker Hayes (born December 27, 1979) is an American pop country singer. He has charted three singles on Hot Country Songs and has released two albums. Hayes has recorded for both Capitol Records and Monument Records, with his highest chart entry being ""You Broke Up with Me"", from his 2017 album Boom. In August 2021, his song ""Fancy Like"" went viral on TikTok. <a href=""https://www.last.fm/music/Walker+Hayes"">Read more on Last.fm</a>","['Kane Brown', 'Niko Moon', 'Old Dominion', 'Jordan Davis']"
166,Dirty Heads,216982,2849298,"Rooted in the Orange County community of Huntington Beach, the Dirty Heads emerged onto the Southern California music scene with their unique signature blend of acoustic infused hip-hop and classic reggae, creating the perfect soundtrack to an upbeat, sun-soaked California.

Founding band members Jared Watson and guitarist/vocalist Dustin Bushnell met in 1996 while in high school, embarking on a friendship based on music, as well as their shared passion for surfing, skating and the endless party of the laid-back SoCal lifestyle.  <a href=""https://www.last.fm/music/+noredirect/Dirty+Heads"">Read more on Last.fm</a>",[]
167,Generación 12,10242,251968," <a href=""https://www.last.fm/music/+noredirect/Generaci%C3%B3n+12"">Read more on Last.fm</a>","['BARAK', 'Un Corazón', 'Montesanto', 'MIEL SAN MARCOS']"
168,Ghost,1278802,108392042,"There are several artists sharing the moniker Ghost;

1) Ghost, also formerly known as Ghost B.C. in the United States, is a Swedish hard rock band that was formed in Linköping in 2006. In 2010, they released a three-track demo followed by a 7-inch vinyl titled ""Elizabeth"", and later their debut full-length album Opus Eponymous. The song ""Ritual"" was chosen by Kerrang! as one of ""The 50 Most Evil Songs Ever."" The Grammis-nominated album was widely praised and significantly increased their popularity. <a href=""https://www.last.fm/music/Ghost"">Read more on Last.fm</a>","['Powerwolf', 'Iron Maiden', 'Ozzy Osbourne', 'Avenged Sevenfold']"
169,Tauren Wells,62457,1047773,"Tauren Gabriel Wells is an American Christian rock and pop artist and the former frontman for the American Christian pop rock band, Royal Tailor which produced two albums over a five-year career, which garnered two GRAMMY nominations and a New Artist of the Year award from the Gospel Music Association's Dove Awards. In 2014, Wells, along with his wife, launched the Prisma Worship Arts School, a private music academy with multiple locations in the Houston area. <a href=""https://www.last.fm/music/Tauren+Wells"">Read more on Last.fm</a>","['Jordan Feliz', 'Riley Clemmons', 'We the Kingdom', 'Crowder']"
170,We Came As Romans,707516,22465648,"We Came as Romans (often abbreviated as WCAR) is an American metalcore band from Troy, Michigan. Formed in 2005, the band has undergone one name change and multiple line-up changes. In 2016, they signed with SharpTone Records after being part of the Equal Vision Records roster since 2009.

The band has released six studio albums:
To Plant a Seed (2009)
Understanding What We've Grown to Be (2011)
Tracing Back Roots (2013)
We Came as Romans (2015)
Cold Like War (2017) <a href=""https://www.last.fm/music/We+Came+As+Romans"">Read more on Last.fm</a>",[]
171,Level 42,465635,5119186,"Level 42 is an English jazz-funk band formed on the Isle of Wight in 1979. They had the several UK and worldwide hits during the 1980s and 1990s.

Their highest-charting single in the UK was ""Lessons in Love"", which reached number three on the UK Singles Chart, and number 12 on the US Billboard Hot 100 chart, upon its release in 1986. An earlier single, ""Something About You"", was their most successful chart-wise in the United States, reaching number 7 on the Billboard Hot 100 chart. <a href=""https://www.last.fm/music/Level+42"">Read more on Last.fm</a>","['Howard Jones', 'Johnny Hates Jazz', 'ABC', 'Paul Young']"
172,"Black Country, New Road",524937,38550804,"Black Country, New Road (commonly abbreviated to BCNR or BC,NR) are an English rock band formed in Cambridgeshire, United Kingdom in 2018, consisting of Luke Mark (guitars and backing vocals), Lewis Evans (saxophones, flute and vocals), Georgia Ellery (violin and backing vocals), May Kershaw (keyboards, accordion and vocals), Tyler Hyde (bass and vocals) and Charlie Wayne (drums and backing vocals). The band's first two albums featured lead vocalist Isaac Wood, who left the band in 2022. <a href=""https://www.last.fm/music/Black+Country,+New+Road"">Read more on Last.fm</a>","['black midi', 'Squid', 'Maruja', 'Slint']"
173,Metallica,4235958,410421128,"Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career. The band's fast tempos, instrumentals and aggressive musicianship made them one of the founding ""big four"" bands of thrash metal, alongside Megadeth, Anthrax and Slayer. Metallica's current lineup comprises founding members and primary songwriters Hetfield and Ulrich, longtime lead guitarist Kirk Hammett and bassist Robert Trujillo. <a href=""https://www.last.fm/music/Metallica"">Read more on Last.fm</a>","['Megadeth', 'Pantera', 'Slayer', 'Anthrax']"
174,Brantley Gilbert,276186,3888243,"Brantley Keith Gilbert (born January 20, 1985 in  Jefferson, GA) is a country rock singer, songwriter and record producer from Jefferson, Georgia. He was originally signed to Colt Ford's label, Average Joes Entertainment, where he released Modern Day Prodigal Son and Halfway to Heaven. He is now signed to the Valory division of Big Machine Records where he has released five studio albums—a deluxe edition of Halfway to Heaven, Just as I Am, The Devil Don't Sleep <a href=""https://www.last.fm/music/Brantley+Gilbert"">Read more on Last.fm</a>","['Justin Moore', 'Jason Aldean', 'Florida Georgia Line', 'Luke Bryan']"
175,Ghost,1278802,108392042,"There are several artists sharing the moniker Ghost;

1) Ghost, also formerly known as Ghost B.C. in the United States, is a Swedish hard rock band that was formed in Linköping in 2006. In 2010, they released a three-track demo followed by a 7-inch vinyl titled ""Elizabeth"", and later their debut full-length album Opus Eponymous. The song ""Ritual"" was chosen by Kerrang! as one of ""The 50 Most Evil Songs Ever."" The Grammis-nominated album was widely praised and significantly increased their popularity. <a href=""https://www.last.fm/music/Ghost"">Read more on Last.fm</a>","['Powerwolf', 'Iron Maiden', 'Ozzy Osbourne', 'Avenged Sevenfold']"
176,Metallica,4235958,410421128,"Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career. The band's fast tempos, instrumentals and aggressive musicianship made them one of the founding ""big four"" bands of thrash metal, alongside Megadeth, Anthrax and Slayer. Metallica's current lineup comprises founding members and primary songwriters Hetfield and Ulrich, longtime lead guitarist Kirk Hammett and bassist Robert Trujillo. <a href=""https://www.last.fm/music/Metallica"">Read more on Last.fm</a>","['Megadeth', 'Pantera', 'Slayer', 'Anthrax']"
177,Dayglow,1122044,28939487,"Sloan Struble, known professionally as Dayglow, is an American singer, songwriter, and producer from Aledo, Texas. He began his career by releasing songs on Soundcloud under the name 'Kindred', though he would adopt the name Dayglow soon after.

In 2018, Struble released his debut album 'Fuzzybrain' as he began attending the University of Texas. Fuzzybrain, propelled by social-media virality, was a quick success. This attention prompted Struble's exit from university in favor of focusing on his music full-time. <a href=""https://www.last.fm/music/Dayglow"">Read more on Last.fm</a>","['Coin', 'Wallows', 'Hippo Campus', 'HUNNY']"
178,OneRepublic,3779293,111020303,"OneRepublic is an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (rhythm guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>","['Imagine Dragons', 'The Script', 'Maroon 5', 'American Authors']"
179,Tauren Wells,62457,1047773,"Tauren Gabriel Wells is an American Christian rock and pop artist and the former frontman for the American Christian pop rock band, Royal Tailor which produced two albums over a five-year career, which garnered two GRAMMY nominations and a New Artist of the Year award from the Gospel Music Association's Dove Awards. In 2014, Wells, along with his wife, launched the Prisma Worship Arts School, a private music academy with multiple locations in the Houston area. <a href=""https://www.last.fm/music/Tauren+Wells"">Read more on Last.fm</a>","['Jordan Feliz', 'Riley Clemmons', 'We the Kingdom', 'Crowder']"
180,Official HIGE DANdism,271811,7618609,"Official髭男dism stylised as Official HIGE DANdism or short Higedan is a Japanese Pop-rock band formed in 2012 and officialy debuted in 2015. 

The band's name translates to ""Official Bearded Men Club"" even though none of the members have a beard. <a href=""https://www.last.fm/music/Official+HIGE+DANdism"">Read more on Last.fm</a>","['Yuuri', 'Ryokuoushoku Shakai', 'Vaundy', 'Mrs. GREEN APPLE']"
181,Josiah and the Bonnevilles,147433,1869862,"Josiah and The Bonnevilles is American musician Josiah Leming (born March 26, 1989). <a href=""https://www.last.fm/music/Josiah+and+the+Bonnevilles"">Read more on Last.fm</a>","['Oliver Hazard', 'Caamp', 'Watchhouse', 'Hans Williams']"
182,The 1975,2142748,219106564,"The 1975 is an English pop band formed in 2002 in Wilmslow, Cheshire. Now based in Manchester, the band consists of lead vocalist, producer, lyricist and rhythm guitarist Matty Healy (the son of actors Denise Welch and Tim Healy), lead guitarist Adam Hann, bassist Ross MacDonald, and drummer/producer George Daniel.

The band's origins trace to their attendance at secondary school and playing together as teenagers. Initial efforts to sign with a label failed, leading to the band's manager Jamie Oborne to form Dirty Hit records. <a href=""https://www.last.fm/music/The+1975"">Read more on Last.fm</a>","['Inhaler', 'Bleachers', 'The Band CAMINO', 'Catfish and the Bottlemen']"
183,Arctic Monkeys,5906644,686230462,"Arctic Monkeys is an indie rock band formed in Sheffield, South Yorkshire, England in 2002 after meeting at Stocksbridge High School. The band consists of Alex Turner (vocals, guitar, piano), Jamie Cook (guitar), Nick O'Malley (backing vocals, bass) and Matt Helders (drums, vocals). Founding bassist Andy Nicholson left in 2006.

The band has released seven studio albums: Whatever People Say I Am, That's What I'm Not (2006), Favourite Worst Nightmare (2007) <a href=""https://www.last.fm/music/Arctic+Monkeys"">Read more on Last.fm</a>","['The Last Shadow Puppets', 'Alex Turner', 'Miles Kane', 'The Strokes']"
184,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
185,Goth Babe,463883,8255165,"Griffin Washburn, better known by his music alias Goth Babe, is an indie pop artist that began his career in 2015 in Nashville, TN. The name comes from the song ""Goth Babe"" by the band Surf Curse.

Goth Babe began when Griffin Washburn started writing songs in his dorm room. In 2016, he moved beyond his bedroom, with twelve live shows in Tennessee. After pursuing music and modeling in New York City, he moved to the West Coast in 2017. Traveling around California and Oregon in his camper truck <a href=""https://www.last.fm/music/Goth+Babe"">Read more on Last.fm</a>","['Jaguar Sun', 'Far Caspian', 'Blood Cultures', 'Castlebeat']"
186,BUMP OF CHICKEN,234700,12760612,"BUMP OF CHICKEN is a Japanese rock band formed in 1994 by 4 members: Motoo Fujiwara (Vocal/Guitar), Hiroaki Masukawa (Guitar), Yoshifumi Naoi (Bass) and Hideo Masu (Drums). They have been friends since preschool in the city of Sakura, Chiba Prefecture. Motoo's lyrics in particular receive acclaim.  The band chose the English name to mean ""cowards strike back"" although they have admitted in interviews that it might not be grammatically correct English. <a href=""https://www.last.fm/music/BUMP+OF+CHICKEN"">Read more on Last.fm</a>","['フジファブリック', 'Mr.Children', 'スピッツ', 'Official髭男dism']"
187,Palaye Royale,397917,20117703,"Palaye Royale is an American band from Las Vegas, formed in 2008 by Remington Leith, Sebastian Danzig, and Emerson Barrett, whom are all brothers. The brothers' surname was Kropp. Each one's stage name is their first name and their middle name. They formed under the name Kropp Circle in 2008 and changed their name to Palaye Royale in 2011, named after the dance hall (Palais Royale) that their grandparents met at. 

Style:
Fashion-art rock, rock and roll, glam rock, indie rock and garage rock. <a href=""https://www.last.fm/music/Palaye+Royale"">Read more on Last.fm</a>","['YUNGBLUD', 'Andy Black', 'Badflower', 'Måneskin']"
188,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
189,Good Morning,650976,10814657,"Good Morning are a recording project from Melbourne, Australia, led by Stefan Blair and Liam Parsons. The two met in high school and have been writing songs ever since. In 2013, they went halvies in a Foxtex 4 track tape machine; Good Morning is the result of that investment. They have released two EPs, 2014's Shawcross and 2016's Glory. In 2018 their debut LP Prize // Reward was released via Bedroom Suck Records; the band followed that up with 2019's The Option <a href=""https://www.last.fm/music/Good+Morning"">Read more on Last.fm</a>","['LOVING', 'Brad stank', 'Banes World', 'HOMESHAKE']"
190,Muse,5348681,441078160,"Muse is an English rock band from Teignmouth, Devon, formed in 1994. The band consists of Matt Bellamy (lead vocals, guitar, keyboards), Chris Wolstenholme (bass guitar, backing vocals), and Dominic Howard (drums). They released their debut album, Showbiz, in 1999, showcasing Bellamy's falsetto and a melancholic alternative rock style. Their second album, Origin of Symmetry (2001), incorporated wider instrumentation and romantic classical influences and earned them a reputation for energetic live performances. <a href=""https://www.last.fm/music/Muse"">Read more on Last.fm</a>","['Royal Blood', 'Nothing But Thieves', 'Franz Ferdinand', 'Radiohead']"
191,Natalia Lafourcade,607606,19631740,"María Natalia Lafourcade Silva (born 26 February 1984) is a Mexican pop and folk singer-songwriter who since her debut in 2003 has been one of the most successful singers in Latin America. Lafourcade's voice has been categorized as a lyric soprano.

Lafourcade was born in Mexico City, Mexico, surrounded by music and art. Her father is the Chilean musician Gastón Lafourcade who had French parents and her mother is the pianist María del Carmen Silva Contreras. <a href=""https://www.last.fm/music/Natalia+Lafourcade"">Read more on Last.fm</a>","['Natalia y La Forquetina', 'Mon Laferte', 'Silvana Estrada', 'Julieta Venegas']"
192,Friday Pilots Club,188123,5304159,"Recently signed to Big Machine/John Varvatos Records (Big Machine Label Group), Friday Pilots Club is Chicago’s Pop affected and hard-hitting Rock band.

Formed in 2017, members Caleb Hiltunen (vocals) and Drew Polovick (guitar) blend explosive memorable hooks and eclectic musical sensibilities to bring a fresh sound to the world of Rock music.

While attending Columbia College Chicago and pursuing different degrees, Caleb and Drew became instant fans of each other’s work. <a href=""https://www.last.fm/music/Friday+Pilots+Club"">Read more on Last.fm</a>","['Himalayas', 'Airways', 'The Wrecks', 'Betcha']"
193,Coheed and Cambria,1017060,61698376,"Coheed and Cambria is an American progressive rock band from Nyack, New York. Formed in 2001, the group incorporates aspects of progressive rock, punk rock, metal, post-hardcore, emo and alternative rock. The band currently consists of Claudio Sanchez (vocals, guitars, keyboards), Travis Stever (guitars, vocals), Josh Eppard (drums, keyboards, backing vocals), and Zach Cooper (bass, backing vocals). Most of Coheed and Cambria's albums are concept albums based on a science fiction storyline called The Amory Wars <a href=""https://www.last.fm/music/Coheed+and+Cambria"">Read more on Last.fm</a>","['The Prize Fighter Inferno', 'The Dear Hunter', 'Closure in Moscow', 'Circa Survive']"
194,for KING ,0,0," <a href=""https://www.last.fm/music/for+KING+"">Read more on Last.fm</a>",[]
195,We Came As Romans,707516,22465648,"We Came as Romans (often abbreviated as WCAR) is an American metalcore band from Troy, Michigan. Formed in 2005, the band has undergone one name change and multiple line-up changes. In 2016, they signed with SharpTone Records after being part of the Equal Vision Records roster since 2009.

The band has released six studio albums:
To Plant a Seed (2009)
Understanding What We've Grown to Be (2011)
Tracing Back Roots (2013)
We Came as Romans (2015)
Cold Like War (2017) <a href=""https://www.last.fm/music/We+Came+As+Romans"">Read more on Last.fm</a>",[]
196,DECO*27,262089,11150169,"DECO*27 (デコ・ニーナ, Deko Niina, born December 16, 1986) is a Fukuoka-born Vocaloid producer and cover singer (""utaite"") notable for his pop rock-style. Debuting in October 2008, his first work ""Boku Mitai na Kimi Kimi Mitai na Boku"" was an instant hit with over 100,000 views on NicoNicoDouga.

DECO*27 frequently uses virtual singer Hatsune Miku and VOCALOID GUMI (Megpoid) as an alternative to hiring singers.

Name origin
He picked ""DECO"" (lit. <a href=""https://www.last.fm/music/DECO%2A27"">Read more on Last.fm</a>","['pinocchioP', 'Kairiki Bear', 'Omoi', 'NayutalieN']"
197,Dirty Heads,216982,2849298,"Rooted in the Orange County community of Huntington Beach, the Dirty Heads emerged onto the Southern California music scene with their unique signature blend of acoustic infused hip-hop and classic reggae, creating the perfect soundtrack to an upbeat, sun-soaked California.

Founding band members Jared Watson and guitarist/vocalist Dustin Bushnell met in 1996 while in high school, embarking on a friendship based on music, as well as their shared passion for surfing, skating and the endless party of the laid-back SoCal lifestyle.  <a href=""https://www.last.fm/music/+noredirect/Dirty+Heads"">Read more on Last.fm</a>",[]
198,Whiskey Myers,120295,2486945,"Whiskey Myers is an American southern rock group from Tyler, Texas composed of Cody Cannon, Cody Tate, John Jeffers, Jeff Hogg and Gary Brown. In 2008, they signed with Smith Entertainment and released their debut album, Road of Life. Their second album, Firewater, was released by Wiggy Thump in 2011 and debuted in the Top 30 on the Billboard Top Country Albums chart.

In a modest rent house in the small East Texas town of Elkhart, Texas, Cody Cannon and Cody Tate began to write music, only dreaming of the success that is sure to follow. <a href=""https://www.last.fm/music/Whiskey+Myers"">Read more on Last.fm</a>","['Koe Wetzel', 'The Steel Woods', 'Southall', 'Blackberry Smoke']"
199,Ghost,1278802,108392042,"There are several artists sharing the moniker Ghost;

1) Ghost, also formerly known as Ghost B.C. in the United States, is a Swedish hard rock band that was formed in Linköping in 2006. In 2010, they released a three-track demo followed by a 7-inch vinyl titled ""Elizabeth"", and later their debut full-length album Opus Eponymous. The song ""Ritual"" was chosen by Kerrang! as one of ""The 50 Most Evil Songs Ever."" The Grammis-nominated album was widely praised and significantly increased their popularity. <a href=""https://www.last.fm/music/Ghost"">Read more on Last.fm</a>","['Powerwolf', 'Iron Maiden', 'Ozzy Osbourne', 'Avenged Sevenfold']"
200,The Score,499989,12114533,"There are multiple artists under the moniker ""The Score""

1.) The Score is a pop-rock outfit straight out of Watertown, NY. The brain-child of singer-songwriter Arison Cain, the Score combines catchy hooks and melodies with a highly original style of vocal delivery reminiscent of bands such as Weatherbox and Say Anything. The band is credited with having a sound very reminiscent of 90's rock bands such as Weezer, Smoking Popes and Foo Fighters. The group self-released an EP <a href=""https://www.last.fm/music/The+Score"">Read more on Last.fm</a>","['Sam Tinnesz', 'WAR*HALL', 'Adam Jensen', 'The Unlikely Candidates']"
201,Alex G,1453594,150260919,"Alex Giannascoli, better known by his stage name Alex G (formerly (Sandy) Alex G), is a multi-instrumentalist based in Havertown. He studied at Temple University, where he served as a member of The Skin Cells along with Sam and Colin Acchione.

Under his own name of Alex G, he started his career with DIY self-releases on Bandcamp and began building up an audience with his label debut, DSU (2014), released on Orchid Tapes to critical acclaim from various publications. <a href=""https://www.last.fm/music/Alex+G"">Read more on Last.fm</a>","['The Skin Cells', 'alex g online', 'starry cat', 'Micah Preite']"
202,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
203,Kairikibear,100972,3097042,"Kairiki Bear (かいりきベア) is a male VOCALOID producer who debuted in June 2011. Aside from producing his own VOCALOID works, he sometimes also mixes and masters for other producers and singers, and plays the role of the guitarist. He mainly uses Hatsune Miku, GUMI, and flower. His first song to enter the Hall of Legend is Arukari Rettousei (Alkali Underachiever). He was born on September 30th. <a href=""https://www.last.fm/music/Kairikibear"">Read more on Last.fm</a>","['Mikito P', '25時、ナイトコードで。', 'cosMo@Bousou-P', 'Kanaria']"
204,Little Stranger,21830,319751,"There are at least 2 artists under the name Little Stranger:

1. Little Stranger are an indie hip-hop band from Charleston, South Carolina, USA.
http://littlestrangermusic.com/
https://heylittlestranger.bandcamp.com/
https://www.reverbnation.com/littlestranger1

2. Little Stranger are an indie rock/post-punk band Los Angeles, California, USA.
https://www.reverbnation.com/littlestrangrrrr

3. Little Stranger is an electronic project who remixed track ""Bang"" by Yeah Yeah Yeahs. <a href=""https://www.last.fm/music/Little+Stranger"">Read more on Last.fm</a>","['Tropidelic', 'The Dirty Heads', 'The Elovaters', 'Surfer Girl']"
205,Father John Misty,1169528,44619439,"Father John Misty, or J. Tillman, has been recording/releasing solo albums since 2003. Josh also played drums for Seattle’s Fleet Foxes from 2008-2011.

On January 31st 2012, he released the first single, 'Hollywood Forever Cemetery Sings', for his debut album under the Father John Misty moniker, ""Fear Fun"". The Phil Ek mixed and Jonathan Wilson produced LP was released on May 1st 2012 through Sub Pop (U.S.) and Bella Union (U.K.)

To date, Father John Misty has released 5 studio albums: Fear Fun (2012) <a href=""https://www.last.fm/music/Father+John+Misty"">Read more on Last.fm</a>","['J. Tillman', 'Fleet Foxes', 'Courtney Barnett', 'Sun Kil Moon']"
206,Jerry Lee Lewis,860009,7924726,"Jerry Lee Lewis (born September 29, 1935 in Ferriday, Louisiana, U.S. died October 28, 2022 in DeSoto County, Mississippi) was an American rock and roll and country music singer, songwriter, and pianist, as well as an early pioneer of rock and roll music. He was inducted into the Rock and Roll Hall of Fame in 1986 and the Country Music Hall Of Fame in 2022. his pioneering contribution to the genre has been recognized by the Rockabilly Hall of Fame. His nickname is The Killer. <a href=""https://www.last.fm/music/Jerry+Lee+Lewis"">Read more on Last.fm</a>","['Carl Perkins', 'Eddie Cochran', 'Bill Haley', 'Gene Vincent']"
207,Jimmie Allen,93020,913039,"By the age of 7, Jimmie Allen had written his first song. By sixth grade he had formed his own band. And now he has a single on radio.    So what’s next? According to Jimmie,  “ Whatever  you can dream, you can make reality.”

Born and raised in Delaware, Jimmie’s “dream” began early on as a boy in his church choir.  He immediately fell in love with music and couldn’t get enough.  He taught himself to play the guitar, drums, and piano while continuing to develop his chops as a singer. <a href=""https://www.last.fm/music/Jimmie+Allen"">Read more on Last.fm</a>","['Russell Dickerson', 'Jordan Davis', 'Thomas Rhett', 'Chris Lane']"
208,Quarters of Change,136958,1684087,"Quarters of Change is an alt rock/indie band from New York City. <a href=""https://www.last.fm/music/Quarters+of+Change"">Read more on Last.fm</a>","['Bad Suns', 'Last Dinosaurs', 'Inhaler', 'Spacey Jane']"
209,Luna Li,593451,8355883,"Luna Li has been called the garage rock princess of Toronto (Mick Magazine), playing regularly with her band around Ontario and Quebec, at shows and festivals such as Canadian Music Week, Slut Island festival, and NXNE. In August 2017, Luna won the SOCAN Foundation Award for Young Canadian Songwriters with her single Star Stuff.

With over 14 years of classical piano and violin training, Luna brings a unique musical sensibility to the rock genre; <a href=""https://www.last.fm/music/Luna+Li"">Read more on Last.fm</a>","['Men I Trust', 'Vansire', 'The Marías', 'Kate Bollinger']"
