,artista,listeners,playcount,biografia,artistas_similares
162,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
163,Gina Chavez,3566,19539,"Gina Chavez brings an energy and honesty to the stage that can't be taught. Her music has Joss Stone soul with Sarah McLaughlin sweetness and clarity, Ani attitude and Baez depth. She is a musical paradox that's winning ears of fans all over the Live Music Capital and throughout Texas... <a href=""https://www.last.fm/music/Gina+Chavez"">Read more on Last.fm</a>","['A.B. Quintanilla III', 'Grupo Fantasma', 'Ben Blanchard', 'Brandon Ruck']"
164,Jarina De Marco,38074,162595,"Jarina De Marco: Born in the Dominican Republic, this Brooklyn based artist traveled the world as a child with her Dominican mother's Irka Mateo (noted musician and folkloric researcher) and Brazilian father's Tadeu De Marco (composer and band leader) Caribbean/Brazilian Jazz Fusion band. Growing up in Santo Domingo, Montreal, Brazil and finally Brooklyn, Jarina brings these diverse cultures together in her original Folkloric Tropical Pop. Jarina <a href=""https://www.last.fm/music/Jarina+De+Marco"">Read more on Last.fm</a>","['Betta Lemme', 'Sofia Reyes', 'Bomba Estéreo', 'Kiiara']"
165,Ley Vara,5574,45941," <a href=""https://www.last.fm/music/Ley+Vara"">Read more on Last.fm</a>","['ziya', 'Kiyomi', 'Jay Isaiah', 'Nilo Blues']"
166,Puya,40679,747466,"1. An alternative metal band from San Juan, Puerto Rico renouned for fusing contemporary metal with salsa, jazz, punk, Rock en Español, rap and traditional Latin influences. Puya was formed in 1988 originally with the name Whisker Biscuit by guitarist Ramón Ortíz (formerly with Mattador) together with bassist Harold Hopkins and drummer Eduardo Paniagua. Originally they devoted themselves to playing instrumental songs, and then covers in the San Juan music scene.  <a href=""https://www.last.fm/music/Puya"">Read more on Last.fm</a>","['Resorte', 'A.N.I.M.A.L.', '40 Below Summer', 'Stuck Mojo']"
167,Nikola,7434,60162,"Nikola (Никола) is a French-Montenegrin singer born in Besançon, France. He started creating music in 2021, and released his first album, ""Zeta, MNE"", in 2024 after a road trip through the Balkans to visit his family's country, Montenegro. Nikola combines rapping and urban beats with melancholic lyrics about his upbringing being torn into two different cultures, as well as different genres of music like Balkan ballads or Electrohouse. <a href=""https://www.last.fm/music/Nikola"">Read more on Last.fm</a>","['Letón Pé', 'The Doug', 'Saycet', 'Zélie']"
168,Adri Torron,1000,2716," <a href=""https://www.last.fm/music/Adri+Torron"">Read more on Last.fm</a>","['Las Villa', 'Duina Del Mar', 'Samantha Sánchez', 'Aria Vega']"
169,Ratas,386,5054,"1. Ratas is rock band from Finland.

Markku - Vocals, guitar
Jakke - Drums
Tomi - Bass

www.ratas.fi/
www.myspace.com/ratasyhtye <a href=""https://www.last.fm/music/Ratas"">Read more on Last.fm</a>","['Luomakunta', 'Kilinkellot', 'Kerho', 'Tapaboka']"
170,JAVVI ELIAS,915,5061," <a href=""https://www.last.fm/music/JAVVI+ELIAS"">Read more on Last.fm</a>",[]
171,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
172,Mitú,37241,556204,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","['Bomba Estéreo', 'Crudo Means Raw', 'Ela Minus', 'La Derecha']"
173,Balún,25885,209153,"Brooklyn-based electronic indie band Balún self-identify as transnational. The quartet that broke out of the San Juan indie scene a decade ago has since undergone a formational odyssey through the industry, academia, and the stateside Puerto Rican experience. Balún’s long-awaited sophomore album Prisma Tropical focuses an incredibly wide field of genres and influences into a revelatory sound that evokes both of the band’s homes and the distance between them. <a href=""https://www.last.fm/music/+noredirect/Bal%C3%BAn"">Read more on Last.fm</a>","['Superaquello', 'Arturo en el Barco', 'El Medio', 'Los Wálters']"
174,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
175,Tayko,6432,73694," <a href=""https://www.last.fm/music/Tayko"">Read more on Last.fm</a>","['Robert Tiamo', 'El Dojo', 'Gona', 'GEGGA']"
176,Dogos,945,6531," <a href=""https://www.last.fm/music/Dogos"">Read more on Last.fm</a>","['Las abejas', 'Epilogio', 'Labajura', 'Sebimor']"
177,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
178,Cabra,4672,28184,"Alexander Arroyo, better known by his stage name Cabra, is a Guitar-playing artist & producer from New York who makes music from his bedroom studio.

He released his first official song ""Droptop Bebop, ACT I"" on January 4, 2020. <a href=""https://www.last.fm/music/Cabra"">Read more on Last.fm</a>","['Trending Tropics', 'Seba Otero', 'Mabiland', 'Los Rarxs']"
179,B-Side Players,5397,42611,"The B-Side Players are part of a new movement in popular music, a band that honors the international cross-pollination that has always made music the universal language. They use any beat that catches their ear, regardless of geography or genre, to create a compelling, horn driven, polyrhythmic groove. “The root of all pop music is African,” says Karlos Paez, the band’s lead vocalist, trumpet player and founder. “Our sound acknowledges that fact. <a href=""https://www.last.fm/music/B-Side+Players"">Read more on Last.fm</a>","['Quinto Sol', 'Locos Por Juana', 'Lengualerta', 'Gomba Jahbari']"
180,Polbo,2459,23597,"En 1998 Alberto y Jorge Colón estudiaban física en La Universidad de Puerto Rico en Humacao. Alberto pasaba más tiempo tocando guitarra en los pasillos que estudiando y a “El Loser” se le ocurrió montar una banda. Chelo tocaría batería, Alberto la guitarra, Jorge se creía que podía cantar, a el gran Ricardito le prestaron un bajo para que aprendiera y El Loser tocaría la segunda guitarra. Mary Joe propuso el nombre: POLBO. Una vez comenzamos a practicar tuvimos que sacar al El Loser y llegó Steven. <a href=""https://www.last.fm/music/Polbo"">Read more on Last.fm</a>","['Vivanativa', 'Superaquello', 'Ignacio Peña', ""Sol D' Menta""]"
181,La Dame Blanche,14346,86087,"There are at least two artists known as La Dame Blanche: 

1) an Alternative/Progressiv Rock Band from Berlin, Germany.

2) Yaite Ramos Rodriguez, a Cuban percussionist, flautist and singer who mixes genres such as cumbria, dancehall, hip hop and reggae. <a href=""https://www.last.fm/music/La+Dame+Blanche"">Read more on Last.fm</a>","['Orishas', 'Celina y Reutilio', 'Danay Suárez', 'Orquesta Aragón']"
182,Words Four Two,87,476," <a href=""https://www.last.fm/music/Words+Four+Two"">Read more on Last.fm</a>","['Vivanativa', 'Fiel a La Vega', 'Circo', 'Ignacio Peña']"
183,Sofía Stainer,1432,17399,"Sofia Stainer, De Los Cabos, Baja California Sur, México.

Es cantautora, compositora e intérprete. Se formó en la música y en las letras de manera autodidacta. Después estudió Música y escritura creativa en Guadalajara para más adelante formar parte de la sociedad de autores y compositores de México. Sus influencias abarcan una amplia variedad de géneros que van desde el bossa-nova, el flamenco y otros ritmos latinos, hasta el jazz, el funk, el soul, música disco y la música electrónica. <a href=""https://www.last.fm/music/Sof%C3%ADa+Stainer"">Read more on Last.fm</a>","['Mvlditos Hombres', 'La Garfield', 'Aztro', 'María Centeno']"
184,Qiensave,448,1332," <a href=""https://www.last.fm/music/Qiensave"">Read more on Last.fm</a>","['Tropa Magica', 'PLANETA POLAR', 'Dansli Parti', 'La Misa Negra']"
185,Mitú,37241,556204,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","['Bomba Estéreo', 'Crudo Means Raw', 'Ela Minus', 'La Derecha']"
186,Ozomatli,186387,1768640,"Ozomatli was formed in Los Angeles in 1995.  Ozomatli have gone from being hometown heroes to being named U.S. State Department Cultural Ambassadors.

Ozomatli has always juggled two key identities. They are the voice of their city and they are citizens of the world.

Their music — a notorious urban-Latino-and-beyond collision of hip hop and salsa, dancehall and cumbia, samba and funk, merengue and comparsa, East LA R&B and New Orleans second line <a href=""https://www.last.fm/music/Ozomatli"">Read more on Last.fm</a>","['Jurassic 5', 'Chali 2na', 'Blackalicious', 'Bomba Estéreo']"
187,El Hijo de Borikén,344,9253," <a href=""https://www.last.fm/music/El+Hijo+de+Borik%C3%A9n"">Read more on Last.fm</a>","['Los Pleneros de la Cresta', 'PJ Sin Suela', 'Robertito Chong', 'Negro González']"
188,Laura Guevara,2905,24547," <a href=""https://www.last.fm/music/Laura+Guevara"">Read more on Last.fm</a>","['Charliepapa', 'Boston Rex', 'Americania', 'Los Colores']"
189,Von Galo,5816,37447," <a href=""https://www.last.fm/music/Von+Galo"">Read more on Last.fm</a>","['SBM', 'Mr. Pig', 'Glass Cristina', 'gordos']"
190,Polaris,386111,14141466,"There are numerous bands named Polaris.
1. An alt metal/djent band from Australia
2. An indie rock band from the United States
3. A punk band from England
4. A rock band from Japan
5. A DJ and producer from France
6. An electronic project from Poland
7. a post-hardcore band from the United Kingdom
8. an indie rock band from Argentina
9. A power metal band from France
10. A techno band from Spain
11. A project of musician Neil Sutherland
12. A thrash metal band from Brazil <a href=""https://www.last.fm/music/Polaris"">Read more on Last.fm</a>","['Currents', 'Silent Planet', 'Alpha Wolf', 'Invent Animate']"
191,Red Tiger,190,638,"En el transcurso de sus seis años de formación, la banda de Hard Rock RED TIGER, compuesta por Red Latú, (voz & guitarra), Xavier “Peter” Figueroa, (batería & voz), Tiko Duran, (Bajo) y Moe Rodríguez, (guitarra), ha logrado llevar su música presentándose en prominentes eventos y establecimientos alrededor de la Isla tales como Arena Pier 10 (“opening” para la banda de rock estadounidense WHITE LION-2007), el Centro de Convenciones de Puerto Rico, Hard Rock Café, Sr. <a href=""https://www.last.fm/music/Red+Tiger"">Read more on Last.fm</a>","['Scarlet Rebels', 'Kañon', 'Blue M', 'hilo negro']"
192,LA R,61,376," <a href=""https://www.last.fm/music/LA+R"">Read more on Last.fm</a>","['Los Pleneros de la 23 Abajo', 'Los Pleneros de la 21', 'Angel Luis Torruellas', 'Sheu']"
193,Gina Chavez,3566,19539,"Gina Chavez brings an energy and honesty to the stage that can't be taught. Her music has Joss Stone soul with Sarah McLaughlin sweetness and clarity, Ani attitude and Baez depth. She is a musical paradox that's winning ears of fans all over the Live Music Capital and throughout Texas... <a href=""https://www.last.fm/music/Gina+Chavez"">Read more on Last.fm</a>","['A.B. Quintanilla III', 'Grupo Fantasma', 'Ben Blanchard', 'Brandon Ruck']"
194,Mint Field,46100,466443,"Mint Field is Mexican duo Amor Amezcua and Estrella Sanchez  from Tijuana.

Comprised of 21-year-olds Estrella Sanchez (vocals & guitar) and Amor Amezcua (drums & synths), Mint Field’s sound is organic, spacious, and inhabited by specters that lurk behind rhythms, where Estrella’s angelic voice evokes a supernatural world of beauty and melancholy.

Their record, Pasar De Las Luces, first for LA-based Innovative Leisure Records, is “a compilation of our lives from two years ago to now” says the band. <a href=""https://www.last.fm/music/Mint+Field"">Read more on Last.fm</a>","['unperro andaluz', 'Sonic Emerson', 'El Shirota', 'Margaritas Podridas']"
195,Ocho Ojos,473,3392," <a href=""https://www.last.fm/music/Ocho+Ojos"">Read more on Last.fm</a>","['Thee Commons', 'la chamba', 'Money Chicha', 'Tropa Magica']"
196,Mitú,37241,556204,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","['Bomba Estéreo', 'Crudo Means Raw', 'Ela Minus', 'La Derecha']"
197,Prettiest Eyes,13993,101735,"Prettiest Eyes is an electronic garage punk trio from Los Angeles, featuring drummer/vocalist Pachy García, bassist Marcos Rodríguez, and keyboardist Paco Casanova. John Dwyer of Thee Oh Sees signed the band to his Castle Face label. The band's second album, Pools came out in 2017. Their third album, Volume 3, was released in June 2019. <a href=""https://www.last.fm/music/Prettiest+Eyes"">Read more on Last.fm</a>","['POW!', 'Warm Drag', 'Exit Group', 'Duds']"
198,Fofé y Los Fetiches,311,4562," <a href=""https://www.last.fm/music/Fof%C3%A9+y+Los+Fetiches"">Read more on Last.fm</a>","['Circo', 'Campo-Formio', 'Mima', 'Superaquello']"
199,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
200,Marc Seguí,134124,2175177," <a href=""https://www.last.fm/music/Marc+Segu%C3%AD"">Read more on Last.fm</a>","['Pol Granch', 'Álvaro De Luna', 'Samuraï', 'Recycled J']"
201,Mitú,37241,556204,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","['Bomba Estéreo', 'Crudo Means Raw', 'Ela Minus', 'La Derecha']"
202,Piso 21,259152,4367018,"Juan David Castaño (el llanero), David Escobar (Dim), Juan David Huertas (El profe) y Pablo Mejía (Pablito), son los integrantes del grupo que ahora suena en las emisoras de la ciudad de medellin, Piso 21.

El mayor tiene solo 26 años y el menor 21. Son jóvenes, sí, pero ya son conscientes de su éxito y más que un grupo, ellos se consideran una familia, pues lo más importante, antes de cantar, es la unión y la lealtad a su amistad.

Todo <a href=""https://www.last.fm/music/Piso+21"">Read more on Last.fm</a>","['Manuel Turizo', 'Cali & El Dandee', 'Maluma', 'Mau y Ricky']"
203,Onda Moderna,100,334," <a href=""https://www.last.fm/music/Onda+Moderna"">Read more on Last.fm</a>","['CHUWI', 'Seba Otero', 'Andrea Cruz', 'Lizbeth Roman']"
204,Paraísos,334,1543," <a href=""https://www.last.fm/music/Para%C3%ADsos"">Read more on Last.fm</a>","['Cero39', 'Sinego', 'Tonga Conga', 'bleepolar']"
205,J Balvin,1323637,44470117,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton <a href=""https://www.last.fm/music/J+Balvin"">Read more on Last.fm</a>","['Maluma', 'Nicky Jam', 'Ozuna', 'Bad Bunny']"
206,Labajura,283,2527," <a href=""https://www.last.fm/music/Labajura"">Read more on Last.fm</a>","['Dogos', 'Los Wálters', 'Alegría Rampante', 'Epilogio']"
207,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
208,Breezewood la Connecta,710,2830," <a href=""https://www.last.fm/music/Breezewood+la+Connecta"">Read more on Last.fm</a>",[]
209,Onda Moderna,100,334," <a href=""https://www.last.fm/music/Onda+Moderna"">Read more on Last.fm</a>","['CHUWI', 'Seba Otero', 'Andrea Cruz', 'Lizbeth Roman']"
210,TIMØ,21835,496131," <a href=""https://www.last.fm/music/TIM%C3%98"">Read more on Last.fm</a>","['Morat', 'Mike Bahía', 'Reik', 'Piso 21']"
211,Campo-Formio,1287,27774,"Campo-Formio es una agrupación musical de la isla de Puerto Rico. Sus miembros son Fernando Quintero (Guitarra/vox), Ricardo Perez (Bajo/vox) y Diego Bernal (Batería). Es una banda que aplasta las caras de sus espectadores con volúmenes altamente dañinos a los que nadie debería exponerse. Campo-Formio ha lanzado y autogestionado 4 producciones discograficas. Un E.P. titulado ""EP 28/11/2008"", ""AZ's"", vinilo de 10"" llamado ""Spooky Fools"" y otro vinilo de 7"" llamado Crackman. <a href=""https://www.last.fm/music/Campo-Formio"">Read more on Last.fm</a>","['Los Nervios', 'Superaquello', 'Dávila 666', 'Juventud Crasa']"
212,B-Side Players,5397,42611,"The B-Side Players are part of a new movement in popular music, a band that honors the international cross-pollination that has always made music the universal language. They use any beat that catches their ear, regardless of geography or genre, to create a compelling, horn driven, polyrhythmic groove. “The root of all pop music is African,” says Karlos Paez, the band’s lead vocalist, trumpet player and founder. “Our sound acknowledges that fact. <a href=""https://www.last.fm/music/B-Side+Players"">Read more on Last.fm</a>","['Quinto Sol', 'Locos Por Juana', 'Lengualerta', 'Gomba Jahbari']"
213,LA R,61,376," <a href=""https://www.last.fm/music/LA+R"">Read more on Last.fm</a>","['Los Pleneros de la 23 Abajo', 'Los Pleneros de la 21', 'Angel Luis Torruellas', 'Sheu']"
214,Chris Jedi,129649,1675359," <a href=""https://www.last.fm/music/Chris+Jedi"">Read more on Last.fm</a>","['Dei V', 'Anuel AA', 'Nio Garcia', 'Sky Rompiendo']"
215,Tainy,528615,20612898,"Marcos Efraín Masís Fernández (San Juan, 9 de agosto de 1989), conocido artísticamente como Tainy, es un productor musical, compositor y DJ puertorriqueño.1

Sobresalió en el género cooperando en la producción Mas Flow 2, a la edad de quince años, y posteriormente junto a Luny Tunes en el álbum Mas Flow: Los Benjamins a la edad de diecisiete.​ En una lista realizada por Billboard en 2021, fue incluido dentro de los mejores diez productores del siglo XXI. <a href=""https://www.last.fm/music/Tainy"">Read more on Last.fm</a>","['Alvaro Diaz', 'Jhayco', 'Mora', 'Bad Bunny']"
216,Karol G,1041408,45673275,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. <a href=""https://www.last.fm/music/Karol+G"">Read more on Last.fm</a>","['Natti Natasha', 'Becky G', 'Maria Becerra', 'Manuel Turizo']"
217,Balún,25885,209153,"Brooklyn-based electronic indie band Balún self-identify as transnational. The quartet that broke out of the San Juan indie scene a decade ago has since undergone a formational odyssey through the industry, academia, and the stateside Puerto Rican experience. Balún’s long-awaited sophomore album Prisma Tropical focuses an incredibly wide field of genres and influences into a revelatory sound that evokes both of the band’s homes and the distance between them. <a href=""https://www.last.fm/music/+noredirect/Bal%C3%BAn"">Read more on Last.fm</a>","['Superaquello', 'Arturo en el Barco', 'El Medio', 'Los Wálters']"
218,Blessd,151632,3453999,"Talento y carisma hacen del cantante urbano antioqueño Stiven Mesa Londoño una de las futuras promesas de este género. Con tan solo 21 años y una carrera que empezó hace poco, este cantante, más conocido en el medio como BLESSD, no solo improvisa y canta, sino que también compone sus temas. <a href=""https://www.last.fm/music/Blessd"">Read more on Last.fm</a>","['Ryan Castro', 'Feid', 'Kevin Roldan', 'Ovy On The Drums']"
219,Alex Sensation,83109,540053," <a href=""https://www.last.fm/music/Alex+Sensation"">Read more on Last.fm</a>","['Gente de Zona', 'Sebastian Yatra', 'Ovy On The Drums', 'ChocQuibTown']"
220,Danny Ocean,363761,7364301,"
Daniel Morales, better known as Danny Ocean (formerly: Danny O.C.T.), is a Venezuelan singer and producer born in Caracas, Venezuela but resident of Miami, Florida. Began in music professionally around the year 2009 when he created his video channel on YouTube. He is best known for his song ""Me Rehúso"", released in September 2016, and relaunched in 2017 for its late success in several countries of Latin America, Europe and the United States, with an English version of it, called ""Baby I Won't"". <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>","['Lagos', 'Lasso', 'Piso 21', 'Manuel Turizo']"
221,Labajura,283,2527," <a href=""https://www.last.fm/music/Labajura"">Read more on Last.fm</a>","['Dogos', 'Los Wálters', 'Alegría Rampante', 'Epilogio']"
222,Indigo,133044,1267709,"Indigo is a name that has been used many times. 
(1) Current UK dubstep/ambient/dub techno producer. 
(2) A German progressive rock band of the 70s and 80s. 
(3) An Austrian band of the 80s and 90s. 
(4) A Maltese pop/rock band of the 00s, fronted by Marvic Lewis. 
(5) Alternative Metal band from Uruguay. 
(6) UK Hi-NRG dance act. 
(7) USA indie hiphop artist.  
(8) USA Jazz band. 
(9) A rock band of PERU.  
(10) Late 90s USA IDM artist. 
(11) Russian alternative rock band.  <a href=""https://www.last.fm/music/Indigo"">Read more on Last.fm</a>","['Synkro', 'Bus', 'Musketeers', 'Mirrr']"
223,Feid,439072,36882187,"Salomón Villada Hoyos, also known as Ferxxo or Feid, is a prominent Colombian singer and songwriter in urban music. Born on August 19, 1992, in Medellín, Colombia, he developed a passion for music from a young age and participated in music extension courses with his parents. Starting with the clarinet, he later shifted his focus to his voice and became a member of the University of Antioquia choir.

Since 2015, Feid has dedicated himself to singing and songwriting <a href=""https://www.last.fm/music/Feid"">Read more on Last.fm</a>","['Mora', 'Jhayco', 'Myke Towers', 'Rauw Alejandro']"
224,LA R,61,376," <a href=""https://www.last.fm/music/LA+R"">Read more on Last.fm</a>","['Los Pleneros de la 23 Abajo', 'Los Pleneros de la 21', 'Angel Luis Torruellas', 'Sheu']"
225,Danny Ocean,363761,7364301,"
Daniel Morales, better known as Danny Ocean (formerly: Danny O.C.T.), is a Venezuelan singer and producer born in Caracas, Venezuela but resident of Miami, Florida. Began in music professionally around the year 2009 when he created his video channel on YouTube. He is best known for his song ""Me Rehúso"", released in September 2016, and relaunched in 2017 for its late success in several countries of Latin America, Europe and the United States, with an English version of it, called ""Baby I Won't"". <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>","['Lagos', 'Lasso', 'Piso 21', 'Manuel Turizo']"
226,The Spam Allstars,2730,20570,"DJ Le Spam & the Spam Allstars blend improvisational electronic elements and turntables with latin, funk, hip hop and dub to create a sound that is unique – an electronic descarga.  It's not a known genre.  It's hard to describe.  It attracts many types of people. But as we look out and see people dancing salsa, next to break-dancers, and festival-goers driving for hours to catch a show -- we know something very special is going on.

Spam Allstars are road warriors -- a touring band. <a href=""https://www.last.fm/music/The+Spam+Allstars"">Read more on Last.fm</a>","['Spam Allstars', 'Grupo Fantasma', 'The Funk Ark', 'Chico Mann']"
227,La Mejor Música Electrónica,2745,20534," <a href=""https://www.last.fm/music/La+Mejor+M%C3%BAsica+Electr%C3%B3nica"">Read more on Last.fm</a>","['Fitness Dj', 'Gucx Music', 'Entrenamiento Fisico', 'DJ Zayn']"
228,Karol G,1041408,45673275,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. <a href=""https://www.last.fm/music/Karol+G"">Read more on Last.fm</a>","['Natti Natasha', 'Becky G', 'Maria Becerra', 'Manuel Turizo']"
229,B-Side Players,5397,42611,"The B-Side Players are part of a new movement in popular music, a band that honors the international cross-pollination that has always made music the universal language. They use any beat that catches their ear, regardless of geography or genre, to create a compelling, horn driven, polyrhythmic groove. “The root of all pop music is African,” says Karlos Paez, the band’s lead vocalist, trumpet player and founder. “Our sound acknowledges that fact. <a href=""https://www.last.fm/music/B-Side+Players"">Read more on Last.fm</a>","['Quinto Sol', 'Locos Por Juana', 'Lengualerta', 'Gomba Jahbari']"
230,Polbo,2459,23597,"En 1998 Alberto y Jorge Colón estudiaban física en La Universidad de Puerto Rico en Humacao. Alberto pasaba más tiempo tocando guitarra en los pasillos que estudiando y a “El Loser” se le ocurrió montar una banda. Chelo tocaría batería, Alberto la guitarra, Jorge se creía que podía cantar, a el gran Ricardito le prestaron un bajo para que aprendiera y El Loser tocaría la segunda guitarra. Mary Joe propuso el nombre: POLBO. Una vez comenzamos a practicar tuvimos que sacar al El Loser y llegó Steven. <a href=""https://www.last.fm/music/Polbo"">Read more on Last.fm</a>","['Vivanativa', 'Superaquello', 'Ignacio Peña', ""Sol D' Menta""]"
231,Boricua Boys,7731,37703," <a href=""https://www.last.fm/music/Boricua+Boys"">Read more on Last.fm</a>","['Sofia Reyes', 'Bebe', 'Alvaro Soler', 'Rosana']"
232,BANG DATa,16274,99629,"Straight out of the Bay Area in early 2008 Bang Data was born, bringing you a mix of slick and melodic guitar, gritty synch & bass, over bang electro-acoustic rhythms; making this the perfect canvas for Deuce Eclipses bilingual rhymes and melodies. Bang Data's sound is a mash-up of styles combining hints of Latin, Reggae. Hip-Hop & Rock triggering memories of music we once grew up with yet offering a futuristic vision of Latin Alternative music. Everyone <a href=""https://www.last.fm/music/BANG+DATa"">Read more on Last.fm</a>","['The Trak Kartel', 'Pistolera', 'Jonaty Garcia', 'Trump']"
233,Sebastian Yatra,501501,10808223,"Sebastián Obando Giraldo (born 15 October 1994), known professionally as Sebastián Yatra, is a Colombian singer and songwriter. He began as a Latin pop artist and has recorded many ballads, but has released several successful reggaeton singles. Yatra is noted for his romantic lyrics, melding traditional lyricism with modern reggaeton influences. He rose to prominence in Latin America in 2016 when he released the hit ""Traicionera"". He has released <a href=""https://www.last.fm/music/Sebastian+Yatra"">Read more on Last.fm</a>","['Piso 21', 'Manuel Turizo', 'Cali & El Dandee', 'Carlos Vives']"
234,Omaraga the G,5,9," <a href=""https://www.last.fm/music/Omaraga+the+G"">Read more on Last.fm</a>",[]
235,J Balvin,1323637,44470117,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton <a href=""https://www.last.fm/music/J+Balvin"">Read more on Last.fm</a>","['Maluma', 'Nicky Jam', 'Ozuna', 'Bad Bunny']"
236,Qiensave,448,1332," <a href=""https://www.last.fm/music/Qiensave"">Read more on Last.fm</a>","['Tropa Magica', 'PLANETA POLAR', 'Dansli Parti', 'La Misa Negra']"
237,Sebastian Yatra,501501,10808223,"Sebastián Obando Giraldo (born 15 October 1994), known professionally as Sebastián Yatra, is a Colombian singer and songwriter. He began as a Latin pop artist and has recorded many ballads, but has released several successful reggaeton singles. Yatra is noted for his romantic lyrics, melding traditional lyricism with modern reggaeton influences. He rose to prominence in Latin America in 2016 when he released the hit ""Traicionera"". He has released <a href=""https://www.last.fm/music/Sebastian+Yatra"">Read more on Last.fm</a>","['Piso 21', 'Manuel Turizo', 'Cali & El Dandee', 'Carlos Vives']"
238,Ratas,386,5054,"1. Ratas is rock band from Finland.

Markku - Vocals, guitar
Jakke - Drums
Tomi - Bass

www.ratas.fi/
www.myspace.com/ratasyhtye <a href=""https://www.last.fm/music/Ratas"">Read more on Last.fm</a>","['Luomakunta', 'Kilinkellot', 'Kerho', 'Tapaboka']"
