,artista,listeners,playcount,biografia,artistas_similares
273,Toylah,35,155," <a href=""https://www.last.fm/music/Toylah"">Read more on Last.fm</a>",[]
274,Quavo,976886,21472121,"Quavious Keyate Marshall (born April 2, 1991), known professionally as Quavo, is an American rapper and record producer, one third of Atlanta hip-hop group Migos alongside Takeoff and Offset.

Quavo’s individual career was initiated by a series of guest features for acclaimed hip-hop artists like Travis Scott, Young Thug, A$AP Ferg, Post Malone and DJ Khaled. On December 21, 2017 he released a collaboration album with Travis Scott called Huncho Jack, Jack Huncho. He released his debut solo album QUAVO HUNCHO on October 11, 2018. <a href=""https://www.last.fm/music/Quavo"">Read more on Last.fm</a>","['Offset', 'Migos', 'Quavo & Takeoff', 'Quality Control']"
275,Migos,1493164,53983213,"Migos is a rap trio-group from Lawrenceville, GA consisting of members Quavo (Quavious Keyate Marshall), Offset (Kiari Kendrell Cephus) and Takeoff (Kirshnik Khari Ball).

Originally the group started as family, who all had an interest in music. It wasn't until 2008 that this trio took their talent seriously, and put together and released their first project ""Juug Season"" in 2011. T​he group later released another mixtape titled ""No Label"" in 2012, which featured ""Bando"", a track that was​ soon labeled a ""dope-boy anthem"".  <a href=""https://www.last.fm/music/Migos"">Read more on Last.fm</a>","['Quavo', 'Offset', 'Quality Control', 'Rich the Kid']"
276,Megan Thee Stallion,1782179,132157760,"Megan Jovon Ruth Pete, known professionally as Megan Thee Stallion, is a North American rapper, songwriter and singer. Originally from Houston, Texas, U.S.A. she first garnered attention when videos of her freestyling became popular on social media platforms such as Instagram. Megan Thee Stallion signed to 300 Entertainment in 2018 where she released the mixtape Fever (2019) and the EP Suga (2020) both of which reached the top ten of the Billboard 200. <a href=""https://www.last.fm/music/Megan+Thee+Stallion"">Read more on Last.fm</a>","['Latto', 'GloRilla', 'Cardi B', 'Flo Milli']"
277,Year of the Ox,10949,129608,"According to the Zodiac, the Ox is attributed with traits of strength and familial loyalty. Nevertheless, they can be stubborn with their ideals and quick to snap on anybody who might violate tradition. Hailing from Virginia, Lyricks and JL exemplify these characteristics as artists who regularly speak on the struggles of the Everyman, yet quick to welcome any challengers, only to treat them like the bonus stage in Street Fighter. It’s a breath <a href=""https://www.last.fm/music/Year+of+the+Ox"">Read more on Last.fm</a>",[]
278,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
279,Roddy Ricch,1166556,39342837,"Rodrick Wayne Moore Jr., was born on October 22, 1998 in Compton, California, where he was also raised.[4] He spent some time living in Atlanta, Georgia in his youth.[5] Roddy Ricch started rapping and singing as young as 8, and he began making beats at the earliest at age 16. In November 2018, he released the mixtape, Feed Tha Streets II, which has peaked at number 68 on the Billboard 200 Chart, led by Ricch's breakout song Die Young. In December 2019 <a href=""https://www.last.fm/music/Roddy+Ricch"">Read more on Last.fm</a>","['Polo G', 'Lil Baby', 'A Boogie wit da Hoodie', 'DaBaby']"
280,2022 Hit Songs Music Mix,563,1554," <a href=""https://www.last.fm/music/2022+Hit+Songs+Music+Mix"">Read more on Last.fm</a>","['Gaming Music 2022', 'Primary Root', 'Lofi Gemini', 'Valorant Gaming Music']"
281,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
282,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
283,Hip Hop For The World,688,2042," <a href=""https://www.last.fm/music/Hip+Hop+For+The+World"">Read more on Last.fm</a>","['Yung Jules', 'S.T.', 'BIG MONT', 'Real Prophecy']"
284,2022 Hit Songs Music Mix,563,1554," <a href=""https://www.last.fm/music/2022+Hit+Songs+Music+Mix"">Read more on Last.fm</a>","['Gaming Music 2022', 'Primary Root', 'Lofi Gemini', 'Valorant Gaming Music']"
285,Naughty By Nature,658939,5308451,"Naughty by Nature is a hip hop group that at the time of its formation in 1991, consisted of Treach, Vinnie, and the DJ Kay Gee. 

The group formed in East Orange, New Jersey, and first appeared on the music scene in the late 1980's releasing an album titled The Independent Leaders, under their then name The New Style. The album generated the minor hit ""Scuffin' Those Knees"". After the release of their first album, the group was subsequently mentored by fellow New Jersey native Queen Latifah and consequently changed their name. <a href=""https://www.last.fm/music/Naughty+By+Nature"">Read more on Last.fm</a>","['House of Pain', 'Das EFX', 'LL Cool J', 'EPMD']"
286,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
287,Quavo,976886,21472121,"Quavious Keyate Marshall (born April 2, 1991), known professionally as Quavo, is an American rapper and record producer, one third of Atlanta hip-hop group Migos alongside Takeoff and Offset.

Quavo’s individual career was initiated by a series of guest features for acclaimed hip-hop artists like Travis Scott, Young Thug, A$AP Ferg, Post Malone and DJ Khaled. On December 21, 2017 he released a collaboration album with Travis Scott called Huncho Jack, Jack Huncho. He released his debut solo album QUAVO HUNCHO on October 11, 2018. <a href=""https://www.last.fm/music/Quavo"">Read more on Last.fm</a>","['Offset', 'Migos', 'Quavo & Takeoff', 'Quality Control']"
288,Turbo,210557,4410872,"There are multiple artists using this name:

1. Turbo is a Polish metal band. It was started in January 1980 by Henryk Tomczak (formerly in Stress and Heam, both pioneering Polish hard rock groups). The first line-up were formed by Wojciech Hoffmann – guitar, Wojciech Anioła – drums and Wojciech Sowula – vocals. Soon a single was released, the tracks being W środku tej nocy (Deep in the Night) and Byłem z tobą tyle lat (So many years with you). <a href=""https://www.last.fm/music/Turbo"">Read more on Last.fm</a>","['TSA', 'Kat', 'Acid Drinkers', 'Kat & Roman Kostrzewski']"
289,Mike Shinoda,365697,6961701,"Michael Kenji Shinoda (born February 11, 1977) is an American musician, songwriter, rapper, singer, record producer and graphic designer. He co-founded Linkin Park in 1996 and is the band's rhythm guitarist, primary songwriter, keyboardist, producer, and lead vocalist. Shinoda later created a hip-hop-driven side project, Fort Minor, in 2004. He served as a producer for tracks and albums by Lupe Fiasco, Styles of Beyond and The X-Ecutioners.

Shinoda is also the co-founder of Machine Shop Records, a California-based record label. <a href=""https://www.last.fm/music/Mike+Shinoda"">Read more on Last.fm</a>","['Linkin Park', 'Fort Minor', 'Dead by Sunrise', 'Jay-Z and Linkin Park']"
290,Roddy Ricch,1166556,39342837,"Rodrick Wayne Moore Jr., was born on October 22, 1998 in Compton, California, where he was also raised.[4] He spent some time living in Atlanta, Georgia in his youth.[5] Roddy Ricch started rapping and singing as young as 8, and he began making beats at the earliest at age 16. In November 2018, he released the mixtape, Feed Tha Streets II, which has peaked at number 68 on the Billboard 200 Chart, led by Ricch's breakout song Die Young. In December 2019 <a href=""https://www.last.fm/music/Roddy+Ricch"">Read more on Last.fm</a>","['Polo G', 'Lil Baby', 'A Boogie wit da Hoodie', 'DaBaby']"
291,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
292,Top 40 Hip-Hop Hits,2011,7067," <a href=""https://www.last.fm/music/Top+40+Hip-Hop+Hits"">Read more on Last.fm</a>","['Top 40 Pop Hits', 'Juicy J feat. Lil Wayne and 2 Chainz', ""Hip Hop's Finest"", 'Dirty Money Music Group']"
293,Parker,49235,565302,"There is more than one artist with this name:


1) Parker is some fuckin emo shit in Rockford, IL.  Members of Warren Franklin, Joie De Vivre, and Your City/State.  On Count Your Lucky Stars or something dumb.  Cool as hell. We takin' over. 

2) If Knighthoods were given out for contributions to crowd rocking, Parker would be curtseying in front of the Queen come New Year. As it is, plaudits range from Massive Attack to DJ Yoda. Royalty indeed! 
First starting his rise smashing chumps via DJ battles <a href=""https://www.last.fm/music/Parker"">Read more on Last.fm</a>","['Dodge & Fuski', 'Дорогой Дневник', 'Worst party ever', 'Arrows in her']"
294,Armani White,390396,3570774,"Enoch Armani Tolbert (born September 25, 1996),  known professionally as Armani White, is an American rapper.

White has been surrounded during his childhood by a family that played music which drew his attention towards music. He started rapping in the second grade. He attended Delaware State University. <a href=""https://www.last.fm/music/Armani+White"">Read more on Last.fm</a>","['Dreamville', 'IDK', 'Connor Price', 'Cordae']"
295,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
296,A BOOGIE WIT DA HOODIE,1111942,73296334,"Artist Julius Dubose (born December 6, 1995), known professionally as A Boogie wit da Hoodie, is an American rapper, and singer-songwriter. He released his debut studio album, The Bigger Artist, via Atlantic Records in 2017. Led by the Billboard Hot 100-top 20 single ""Drowning"" (featuring Kodak Black), the album was met with critical praise and peaked at number four on the Billboard 200.[2][3]

His second album, Hoodie SZN (2018), peaked atop the Billboard 200, while his third, Artist 2. <a href=""https://www.last.fm/music/A+BOOGIE+WIT+DA+HOODIE"">Read more on Last.fm</a>",[]
297,Khafre Jay,21,233," <a href=""https://www.last.fm/music/Khafre+Jay"">Read more on Last.fm</a>","['Rekord', 'Q.yada', 'Portrey Youth', 'Bri Gonzales']"
298,KountUpWitdak,796,6783," <a href=""https://www.last.fm/music/KountUpWitdak"">Read more on Last.fm</a>","['PG RA', 'Deezy McDuffie', 'Polo Mayesvillian', '18Veno']"
299,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
300,Upgrade HipHop,531,27030," <a href=""https://www.last.fm/music/Upgrade+HipHop"">Read more on Last.fm</a>","['Weerd Science', 'Mike Mictlan', 'Eligh & Amp Live', 'The MC Type']"
301,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
302,o2worldwide,27611,211813," <a href=""https://www.last.fm/music/o2worldwide"">Read more on Last.fm</a>","['Fritogang', 'Jon Swaii', 'Isaac Zale', 'Oranj Goodman']"
303,Lental,976,1919," <a href=""https://www.last.fm/music/Lental"">Read more on Last.fm</a>","['Dustin Warbear', 'Kvng Moses', 'Jehry Robinson', 'Statik G']"
304,midwxst,341853,18428167,"Edgar Nathaniel Sarratt III, known professionally as midwxst, is an American rapper and singer born on June 5, 2003, in Columbia, South Carolina. Raised in Indianapolis, Indiana, Sarratt grew up in a military family and faced various relocations, which instilled adaptability and resilience. He was diagnosed with ADHD at a young age, which influenced his approach to music and creativity. In high school, he began producing music in his bedroom, initially under the alias $uspect, and later adopting the stage name midwxst. <a href=""https://www.last.fm/music/midwxst"">Read more on Last.fm</a>","['ericdoa', 'glaive', 'aldn', 'brakence']"
305,A BOOGIE WIT DA HOODIE,1111942,73296334,"Artist Julius Dubose (born December 6, 1995), known professionally as A Boogie wit da Hoodie, is an American rapper, and singer-songwriter. He released his debut studio album, The Bigger Artist, via Atlantic Records in 2017. Led by the Billboard Hot 100-top 20 single ""Drowning"" (featuring Kodak Black), the album was met with critical praise and peaked at number four on the Billboard 200.[2][3]

His second album, Hoodie SZN (2018), peaked atop the Billboard 200, while his third, Artist 2. <a href=""https://www.last.fm/music/A+BOOGIE+WIT+DA+HOODIE"">Read more on Last.fm</a>",[]
306,Kodak Black,1361623,72581365,"Bill Kahan Kapri (born as Dieuson Octave) , (born June 11, 1997), better known by his stage name Kodak Black, is an American rapper from Pompano Beach, Florida, United States. He burst onto the scene at a young age when his single ""No Flockin"" made the rounds in 2014. He eventually released his breakthrough commercial mixtape, Lil Big Pac, in 2016. His debut album, Painting Pictures, released in 2017, with the single ""Tunnel Vision"", which reached the top 10 of the Billboard Hot 100. <a href=""https://www.last.fm/music/Kodak+Black"">Read more on Last.fm</a>","['Jackboy', 'Pooh Shiesty', 'HotBoii', 'Young Dolph']"
307,Culture Clan,86,596," <a href=""https://www.last.fm/music/Culture+Clan"">Read more on Last.fm</a>","['Red Boy', 'Tommy Real', 'big dario', 'Tony Bull']"
308,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
309,Mac Miller,2804956,298964921,"Malcolm McCormick, also known by his stage name Mac Miller, was an American rapper, singer-songwriter and record producer from Pittsburgh, Pennsylvania. He was also a noted record producer under the pseudonym Larry Fisherman. Raised Jewish and teaching himself music from a young age, McCormick defied the stereotypes of hip-hop and released his first mixtape under the name EZ Mac, titled ""But My Mackin' Ain't Easy"" in 2007, when McCormick was only fifteen. <a href=""https://www.last.fm/music/Mac+Miller"">Read more on Last.fm</a>","['Chance the Rapper', 'Isaiah Rashad', 'Joey Bada$$', 'A$AP Rocky']"
310,Lil Baby,1194742,111245139,"Rapper Lil Baby grew up in Atlanta hanging with friends like Young Thug, Coach K, and Pee, leaning more toward a life of petty crime and street hustling while his friends were working in the music industry. In 2015, at age 19, Lil Baby went to prison for two years for a probation violation. Upon his release in 2017, he jump-started his rap career with a mixtape called Perfect Timing, released in April of that year. The mixtape featured cameos from friends like Lil Yachty <a href=""https://www.last.fm/music/Lil+Baby"">Read more on Last.fm</a>","['Lil Durk', 'Lil Baby & Gunna', 'Moneybagg Yo', 'Polo G']"
311,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
312,Language Arts Crew,14581,117760,"
Language Arts Crew is a five-piece hip-hop group formed in the San Francisco Bay Area in 2001. Based in San Jose with a frontline of four MC’s and two heavy weight producers. Their style exhibits a lyrical depth, technique, and stage presence that has them on the cutting edge of the Bay Area underground hip-hop scene for the past three years. Their seven-inch single “Lazy Daze in California,” and full-length release ”Applied Knowledge” <a href=""https://www.last.fm/music/Language+Arts+Crew"">Read more on Last.fm</a>","['Input', 'Collective Efforts', 'Unknown Prophets', 'Paranoid Castle']"
313,Zero14,3,4," <a href=""https://www.last.fm/music/Zero14"">Read more on Last.fm</a>",[]
314,Wu-Tang Clan,2126810,61695652,"Wu-Tang Clan is a hip-hop group that consists of: RZA, GZA/Genius, Ghostface Killah, Raekwon, Ol' Dirty Bastard, Method Man, Inspectah Deck, U-God, and Masta Killa. They are frequently joined by fellow childhood friend Cappadonna, a quasi member of the group. They were formed in (and are associated with) the New York City borough of Staten Island (referred to by members as ""Shaolin""), though Masta Killa and GZA are from Brooklyn and Inspectah Deck is from the Bronx. <a href=""https://www.last.fm/music/Wu-Tang+Clan"">Read more on Last.fm</a>","['Raekwon', 'GZA/Genius', 'Ghostface Killah', 'Method Man']"
315,Lental,976,1919," <a href=""https://www.last.fm/music/Lental"">Read more on Last.fm</a>","['Dustin Warbear', 'Kvng Moses', 'Jehry Robinson', 'Statik G']"
316,Upgrade HipHop,531,27030," <a href=""https://www.last.fm/music/Upgrade+HipHop"">Read more on Last.fm</a>","['Weerd Science', 'Mike Mictlan', 'Eligh & Amp Live', 'The MC Type']"
317,Kodak Black,1361623,72581365,"Bill Kahan Kapri (born as Dieuson Octave) , (born June 11, 1997), better known by his stage name Kodak Black, is an American rapper from Pompano Beach, Florida, United States. He burst onto the scene at a young age when his single ""No Flockin"" made the rounds in 2014. He eventually released his breakthrough commercial mixtape, Lil Big Pac, in 2016. His debut album, Painting Pictures, released in 2017, with the single ""Tunnel Vision"", which reached the top 10 of the Billboard Hot 100. <a href=""https://www.last.fm/music/Kodak+Black"">Read more on Last.fm</a>","['Jackboy', 'Pooh Shiesty', 'HotBoii', 'Young Dolph']"
318,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
319,Tierra Whack,573482,11765666,"Tierra Whack (born August 11, 1995) is a rap-artist from North Philadelphia, Pennsylvania. As a teenager, she performed as Dizzle Dizz, but reverted back to her birth name in 2017. Her debut album, Whack World, was released on May 30, 2018.

Whack World is a theme park of an album in which Whack sings, raps, and slips in and out of exaggerated voices across 15 songs that, at different moments, might be described as hip-hop, R&B, pop, or country. Every track clocks in at exactly one minute and is accompanied by its own distinctive video.  <a href=""https://www.last.fm/music/Tierra+Whack"">Read more on Last.fm</a>","['JUNGLEPUSSY', 'Rapsody', 'Leikeli47', 'Rico Nasty']"
320,Upgrade HipHop,531,27030," <a href=""https://www.last.fm/music/Upgrade+HipHop"">Read more on Last.fm</a>","['Weerd Science', 'Mike Mictlan', 'Eligh & Amp Live', 'The MC Type']"
321,Hip Hop Mix,533,5030," <a href=""https://www.last.fm/music/Hip+Hop+Mix"">Read more on Last.fm</a>","['Snoop Dogg, Dr. Dre, Ice Cube', 'Pop Mix', 'Rock Mix', 'Common feat. Sadat X']"
322,Saweetie,963448,16461879,"Diamonté Quiava Valentin Harper, known professionally as Saweetie, is an American rapper. After the release of her debut single ""Icy Grl"" in 2018, she was signed to her then-manager Max Gousse's record label Artistry Worldwide, a subsidiary of Warner Records.

Saweetie released her debut EP, High Maintenance, in 2018. Her second EP, Icy, was released in March 2019 and spawned the top-40 single ""My Type"".

In 2021, she received two nominations for the 64th Annual Grammy Awards including one for Best New Artist. <a href=""https://www.last.fm/music/Saweetie"">Read more on Last.fm</a>","['City Girls', 'Latto', 'Kash Doll', 'Rubi Rose']"
323,Shordie Shordie,143503,3104166,"Shordie Shordie is a Baltimore artist who is part of the rap trio Peso Da Mafia (which found success with songs such as “Money Man” and “Winning.”) His unique voice and flow, along with his hypnotizing, catchy choruses earned him the nickname “Captain Hook”. In December 2018, Shordie Shordie released his debut mixtape Captain Hook, which featured his biggest song yet “Bitchuary.” <a href=""https://www.last.fm/music/Shordie+Shordie"">Read more on Last.fm</a>","['ShooterGang Kony', '03 Greedo', 'Shoreline Mafia', 'Kalan.FrFr']"
324,Quavo,976886,21472121,"Quavious Keyate Marshall (born April 2, 1991), known professionally as Quavo, is an American rapper and record producer, one third of Atlanta hip-hop group Migos alongside Takeoff and Offset.

Quavo’s individual career was initiated by a series of guest features for acclaimed hip-hop artists like Travis Scott, Young Thug, A$AP Ferg, Post Malone and DJ Khaled. On December 21, 2017 he released a collaboration album with Travis Scott called Huncho Jack, Jack Huncho. He released his debut solo album QUAVO HUNCHO on October 11, 2018. <a href=""https://www.last.fm/music/Quavo"">Read more on Last.fm</a>","['Offset', 'Migos', 'Quavo & Takeoff', 'Quality Control']"
325,Migos,1493164,53983213,"Migos is a rap trio-group from Lawrenceville, GA consisting of members Quavo (Quavious Keyate Marshall), Offset (Kiari Kendrell Cephus) and Takeoff (Kirshnik Khari Ball).

Originally the group started as family, who all had an interest in music. It wasn't until 2008 that this trio took their talent seriously, and put together and released their first project ""Juug Season"" in 2011. T​he group later released another mixtape titled ""No Label"" in 2012, which featured ""Bando"", a track that was​ soon labeled a ""dope-boy anthem"".  <a href=""https://www.last.fm/music/Migos"">Read more on Last.fm</a>","['Quavo', 'Offset', 'Quality Control', 'Rich the Kid']"
326,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
327,Megan Thee Stallion,1782179,132157760,"Megan Jovon Ruth Pete, known professionally as Megan Thee Stallion, is a North American rapper, songwriter and singer. Originally from Houston, Texas, U.S.A. she first garnered attention when videos of her freestyling became popular on social media platforms such as Instagram. Megan Thee Stallion signed to 300 Entertainment in 2018 where she released the mixtape Fever (2019) and the EP Suga (2020) both of which reached the top ten of the Billboard 200. <a href=""https://www.last.fm/music/Megan+Thee+Stallion"">Read more on Last.fm</a>","['Latto', 'GloRilla', 'Cardi B', 'Flo Milli']"
328,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
329,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
330,Roddy Ricch,1166556,39342837,"Rodrick Wayne Moore Jr., was born on October 22, 1998 in Compton, California, where he was also raised.[4] He spent some time living in Atlanta, Georgia in his youth.[5] Roddy Ricch started rapping and singing as young as 8, and he began making beats at the earliest at age 16. In November 2018, he released the mixtape, Feed Tha Streets II, which has peaked at number 68 on the Billboard 200 Chart, led by Ricch's breakout song Die Young. In December 2019 <a href=""https://www.last.fm/music/Roddy+Ricch"">Read more on Last.fm</a>","['Polo G', 'Lil Baby', 'A Boogie wit da Hoodie', 'DaBaby']"
331,2022 Hit Songs Music Mix,563,1554," <a href=""https://www.last.fm/music/2022+Hit+Songs+Music+Mix"">Read more on Last.fm</a>","['Gaming Music 2022', 'Primary Root', 'Lofi Gemini', 'Valorant Gaming Music']"
332,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
333,Finesse2tymes,67444,467941," <a href=""https://www.last.fm/music/Finesse2tymes"">Read more on Last.fm</a>","['Big Boogie', 'BigWalkDog', 'Moneybagg Yo', 'Yo Gotti']"
334,Rap Game,513,1316," <a href=""https://www.last.fm/music/Rap+Game"">Read more on Last.fm</a>","['Jay-Z, Beanie Sigel, Memphis Bleek & Amil', 'Jay-Z, Beanie Sigel & Amil', 'Jay-Z, Beanie Sigel & L. Dionne', '8 miles and running']"
335,2022 Hit Songs Music Mix,563,1554," <a href=""https://www.last.fm/music/2022+Hit+Songs+Music+Mix"">Read more on Last.fm</a>","['Gaming Music 2022', 'Primary Root', 'Lofi Gemini', 'Valorant Gaming Music']"
