,genero_musica,artista,listeners,playcount,biografia,artistas_similares
412,hiphop,Eric Caspar,928,18555," <a href=""https://www.last.fm/music/Eric+Caspar"">Read more on Last.fm</a>","['Nigel Jenkins', 'Marcin Rozynek', 'Makowiecki Band', 'KarmaComa']"
415,hiphop,Ashnikko,1024025,39808854,"Ashton Nicole Casey, better known as Ashnikko, is an an American rapper, singer, songwriter, record producer, and model. She was raised in the city of Greensboro where her parents exposed her to country music and Slipknot. As a teenager, her family moved to Estonia for her father's studies, spending a year there before relocating again to Riga, Latvia. She is currently based in London, UK. 

Ashnikko is best known for their 2019 single ""Stupid"" with Yung Baby Tate which gained viral popularity on the video-sharing platform TikTok. <a href=""https://www.last.fm/music/Ashnikko"">Read more on Last.fm</a>","['Melanie Martinez', 'GIRLI', 'DeathbyRomy', 'REI AMI']"
417,hiphop,Electronic Heores,128,172," <a href=""https://www.last.fm/music/Electronic+Heores"">Read more on Last.fm</a>",['Incognito Mode']
420,hiphop,SHORELINE MAFIA,375698,14693715,"Shoreline Mafia was an American rap group from Los Angeles, California, founded in 2016 by OhGeesy, Fenix Flexin, Rob Vicious, and Master Kato. They released their debut mixtape ShorelineDoThatShit in November 2017. It was later rereleased under Atlantic Records when they signed to the label in May 2018. Fenix Flexin left the group in early 2020, and it was disbanded later that year after the release of their debut album Mafia Bidness.

After 4 years of the group's disbandment <a href=""https://www.last.fm/music/SHORELINE+MAFIA"">Read more on Last.fm</a>",[]
425,hiphop,SIGNATURE TRACKS,2864,12112," <a href=""https://www.last.fm/music/SIGNATURE+TRACKS"">Read more on Last.fm</a>","['Vanacore Music', 'Mosh Party', 'Tara George', 'Kali J']"
428,hiphop,Greatest Hits 2023,29,54," <a href=""https://www.last.fm/music/Greatest+Hits+2023"">Read more on Last.fm</a>",[]
432,hiphop,Hiphop Instrumentals,1012,3078," <a href=""https://www.last.fm/music/Hiphop+Instrumentals"">Read more on Last.fm</a>","['Low Profile Beat', 'Hot Beats', 'Beats from the Streets', 'HOT DAY & THE DREAMTEAM']"
440,hiphop,Wale,1890901,22645018,"Olubowale Victor Akintimehin Folarin (born September 21, 1984 in Washington, D.C.), better known by his stage name Wale, is an American rapper and producer. Fusing DC's homegrown go-go genre with a streetwise Northern hip-hop sensibility, he takes samples from all genres and blends them together with lyrical dexterity. In 2005 he released his debut mixtape, Paint a Picture, and has since released four more. His debut album, released by Interscope, Attention Deficit, was released November 10, 2009. <a href=""https://www.last.fm/music/Wale"">Read more on Last.fm</a>","['Rick Ross', 'Fabolous', 'Meek Mill', 'Big Sean']"
442,hiphop,Nate,8509,55228,"Nate was raised in South East London, UK , his love for the art form reigns pertinent. Nate is the middle child of five siblings whose love for emcing & Dj-ing have been with him from his teenage years. Growing up within his immediate household he listened to various musical genres until the age of 14 when his love for ‘house & garage’ grew immensely. Listening to pirate radio stations, Nate was influenced by artists such as Pay As You Go, Nasty Crew, Roll Deep, Dizzee Rascal, Wiley, Durrty Goodz & Heartless Crew. <a href=""https://www.last.fm/music/Nate"">Read more on Last.fm</a>","['Priceless', 'Revolution Of The Mind', 'Logic & Last Resort', 'Caxton Press']"
443,hiphop,Doctor Flake,120646,1739836,"Doctor Flake is a French producer and composer evolving in the Hip Hop/Abstract/Trip Hop styles like a kind of a musical surgeon, a medical expert of musical cutting.

His production started in 2001 by developing his own mainly instrumental musical universe based on already existing materials. These various extracts are then thoroughly and accurately dismembered and dissected before being reassembled and rearranged to create a new living track.

As a legitimate heir to the sampling madness <a href=""https://www.last.fm/music/Doctor+Flake"">Read more on Last.fm</a>","['Glen Porter', 'Saltillo', 'Roger Molls', 'Degiheugi']"
444,hiphop,GuzziWitDaMFKNUzii,17,22," <a href=""https://www.last.fm/music/GuzziWitDaMFKNUzii"">Read more on Last.fm</a>",[]
448,hiphop,Bigger Story Music,881,8455," <a href=""https://www.last.fm/music/Bigger+Story+Music"">Read more on Last.fm</a>","['Sounds of Red Bull', 'Mscmkrs', 'Selectracks Instrumental Catalog', 'Music Beyond']"
450,hiphop,Street Vital,56,327," <a href=""https://www.last.fm/music/Street+Vital"">Read more on Last.fm</a>",[]
453,hiphop,Creed Tha Kid,8317,59866," <a href=""https://www.last.fm/music/Creed+Tha+Kid"">Read more on Last.fm</a>","['Bushido Zho', 'Lucus', 'Bugus', 'Dekabrj']"
457,hiphop,Maine The Medicine,22,208," <a href=""https://www.last.fm/music/Maine+The+Medicine"">Read more on Last.fm</a>",[]
462,hiphop,Öster,12242,50478,"Beatmaker and music's lover from Perpignan, France. <a href=""https://www.last.fm/music/+noredirect/%C3%96ster"">Read more on Last.fm</a>","['bludlo', 'cbakl', 'Bhonstro', 'Bmbu']"
464,hiphop,Livestream Music,1146,15016," <a href=""https://www.last.fm/music/Livestream+Music"">Read more on Last.fm</a>","['Gaming Music 2022', 'Valorant Gaming Music', 'Ismael Londo', 'Safe Streaming Music']"
465,hiphop,Top Hip Hop DJs,2321,10982," <a href=""https://www.last.fm/music/Top+Hip+Hop+DJs"">Read more on Last.fm</a>","['DJ Hip Hop Masters', 'Future Hitmakers', 'Hip Hop Legends', 'Hip Hop DJs United']"
474,hiphop,Flyana Boss,189334,3359709,"Flyana Boss is a hip-hop duo consisting of best friends, Bobbi and Folayan (hailing from Detroit, Michigan and Dallas, Texas respectively). The two first gained traction on the short-form video app Triller. <a href=""https://www.last.fm/music/Flyana+Boss"">Read more on Last.fm</a>","['Baby Tate', 'Monaleo', 'Leikeli47', 'Qveen Herby']"
476,hiphop,Chase Akers,3,344," <a href=""https://www.last.fm/music/Chase+Akers"">Read more on Last.fm</a>",[]
477,hiphop,Elle Green,35,828," <a href=""https://www.last.fm/music/Elle+Green"">Read more on Last.fm</a>",[]
478,hiphop,Lyrical I,8,19," <a href=""https://www.last.fm/music/Lyrical+I"">Read more on Last.fm</a>",[]
480,hiphop,2rare,35621,290334," <a href=""https://www.last.fm/music/2rare"">Read more on Last.fm</a>","['PnB Rock', 'Toosii', 'A Boogie wit da Hoodie', 'Rob49']"
481,hiphop,Hip Hop Instrumentals,24610,75952," <a href=""https://www.last.fm/music/Hip+Hop+Instrumentals"">Read more on Last.fm</a>","['Liquid Audio', 'Instrumental Trap Beats Gang', 'B 3 N B i', 'Eets']"
483,hiphop,Bankrol Hayden,291313,5895516,"Bankrol Hayden, real name Hayden Inacio, is a rapper from Modesto, California, who was born on September 30, 2001.

In 2018, Hayden was in a serious car crash. He spent 20 days in hospital and six days on life support.

Hayden is best known for his Luh Kel-assisted song “Brothers,” which racked up more than six million views on YouTube as of January 2020. The Modesto-based rapper saw his fame swell with the release of his single “29.” <a href=""https://www.last.fm/music/Bankrol+Hayden"">Read more on Last.fm</a>","['24kGoldn', 'iann dior', 'Internet Money', 'Lil Mosey']"
484,hiphop,Cordae,625959,17006290,"Cordae Amari Dunston (born August 26, 1997), known mononymously as Cordae (formerly known as YBN Cordae and Entendre is an American rapper, singer, and songwriter. 

Dunston gained popularity by releasing remixes of popular songs, such as ""My Name Is"" by Eminem, and ""Old N***as"" which was a response to the song ""1985"" by J. Cole. Videos to both remixes were uploaded to the WorldStarHipHop's YouTube channel, which led to an immense and immediate positive response from both mainstream media and the online rap community. <a href=""https://www.last.fm/music/Cordae"">Read more on Last.fm</a>","['EARTHGANG', 'JID', 'Dreamville', 'Bas']"
487,hiphop,22Gz,239613,6748961,"Jeffrey Alexander, better known as 22Gz, is an American drill rapper from Brooklyn, New York (born November 29, 1997).

22Gz began gaining a following back in 2016 after he released the singles “Blixky” and “Suburban”. The latter, which was produced by London based drill/UK grime producer AXL Beats, is regarded as one of the first major Brookyln drill songs to become popular.

He was later signed to Kodak Black’s Florida based label, Sniper Gang, in 2018. <a href=""https://www.last.fm/music/22Gz"">Read more on Last.fm</a>","['CoachDaGhost', 'Bizzy Banks', 'Rah Swish', 'DUSTY LOCANE']"
488,hiphop,yardie,294,1014," <a href=""https://www.last.fm/music/yardie"">Read more on Last.fm</a>","['Lexx NeverSleep', 'ZAPOMNITVAR', 'Wavez', 'Yanov']"
490,hiphop,Free Nationals,760211,11901869,"Free Nationals are best known as Anderson . Paak's live band, until now. The Free Nationals are bassist Kelsey Gonzalez (bass), Ron “Tnava” Avant (keyboard/vocoder), Callum Connor (drums), and José Rios (guitar). In December 2019, the band released their self-titled debut, featuring collaborations with Mac Miller, Kali Uchis, Daniel Caesar, Unknown Mortal Orchestra, Conway the Machine and Westside Gunn. <a href=""https://www.last.fm/music/Free+Nationals"">Read more on Last.fm</a>","['Anderson .Paak', 'Rayana Jay', 'bLAck pARty', 'The Internet']"
491,hiphop,Kaytranada,1159052,49105363,"Kaytranada (stylized as KAYTRANADA, sometimes shortened as KAYTRA) is Haitian-Canadian music producer, rapper and singer Louis Kevin Celestin (born August 25, 1992). Celestin rose to prominence after releasing a series of mixtapes, remixes, and original music projects beginning in 2010 under the alias Kaytradamus. By 2013, and under the moniker Kaytranada, he began gaining wider recognition and, the following year, signed a deal with XL Recordings, with whom he released his debut studio album, 99. <a href=""https://www.last.fm/music/Kaytranada"">Read more on Last.fm</a>",[]
493,hiphop,Maeta,164755,1560781,"On her new EPHabits, rising R&B songstress Maeta(20) sounds comfortable and self-assured. Fully encompassing the highs and lows of young love, the project offers the Indianapolis-native, now Los Angeles-based artist reflecting on past relationships that she’s outgrown (lead single “Teen Scene,” produced by Kaytranada) and contemplating the uncertainties that come with interpersonal connection (“Doesn’t Mean A Thing,” produced by Teddy Walton). <a href=""https://www.last.fm/music/Maeta"">Read more on Last.fm</a>","['Ambré', 'Kiana Ledé', 'Destin Conrad', 'Tone Stith']"
494,hiphop,Chance the Rapper,1169869,49023669,"Chancelor Bennett (born April 16, 1993), better known by his stage name Chance The Rapper, is an American hip-hop recording artist from Chicago, Illinois. In 2013, he began to gain recognition following the release of his first two mixtapes. Chance first made some noise on the Chicago hip-hop blog Fake Shore Drive with his video for “Nostalgia“ in early 2011. His mixtape, Coloring Book, was released for free on Apple Music on 12 May 2016.

Chance achieved some success with his first mixtape 10 Day <a href=""https://www.last.fm/music/Chance+the+Rapper"">Read more on Last.fm</a>","['Taylor Bennett', 'Saba', 'Donnie Trumpet & The Social Experiment', 'Cordae']"
495,hiphop,Sir,617000,15057396,"SiR (born Sir Darryl Farris on November 5th, 1986) is an American singer, songwriter and record producer from Inglewood, California. He is currently signed to Top Dawg Entertainment and has released four studio albums; ""Seven Sundays"" (2015), ""November"" (2018), ""Chasing Summer"" (2019) and ""HEAVY"" (2024). <a href=""https://www.last.fm/music/Sir"">Read more on Last.fm</a>",[]
497,hiphop,Ryan Oakes,120930,1909190,"Ryan Oakes is a 27-year-old artist from Northern, VA. Pulling in over 100,000,000  hits independently and quickly rising; there's no saying just how far his talents may take him. He emphasizes a very real style telling true stories by rapping over pop punk trap type beats that really hit home with people. He is currently residing in Los Angeles. <a href=""https://www.last.fm/music/Ryan+Oakes"">Read more on Last.fm</a>","['Josh A', 'Witt Lowry', 'Chri$tian Gate$', 'iAmJakeHill']"
499,hiphop,Mavi,759281,20778873,"There are two artists with this name:

1) Mavi (born [yearborn]October 7th, 1999[/yearborn]) is a rapper from Charlotte, North Carolina who remained fairly unknown until October 18th, 2019 with the drop of his album, let the sun talk. He also gained a lot of attention from a feature he did on Earl Sweatshirt’s FEET OF CLAY on the track ""EL TORO COMBO MEAL"".

2) Mavi, born on February 6, 2004 in Üsküdar, Mavi Solman, with his stage name ""Mavi"" is one of Turkey's youngest trap musicians. <a href=""https://www.last.fm/music/Mavi"">Read more on Last.fm</a>","['Mike', 'Navy Blue', 'Messiah!', 'Earl Sweatshirt']"
504,hiphop,Gus Dapperton,531447,11281740,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>","['Dayglow', 'Hippo Campus', 'BENEE', 'Still Woozy']"
513,hiphop,Fever 333,148816,3667663,"FEVER 333 (originally stylized as The Fever 333) is an American rapcore band formed in Inglewood, California in 2017. The three-piece band consists of ex-Letlive vocalist Jason Aalon Butler, ex-The Chariot guitarist Stephen Harrison and Night Verses drummer Aric Improta. ""333"" represents the band's three principles: community, charity and change.

Their musical style merges elements of rock/metal and hip-hop, which the band describes as being ""rooted in subversion"" <a href=""https://www.last.fm/music/Fever+333"">Read more on Last.fm</a>",[]
514,hiphop,Degiheugi,105686,1661578,"Degiheugi music began in early 1998 in France. Degiheugi is able to redefine ""Traditional Hip-Hop""  through his own style, voice, touch. <a href=""https://www.last.fm/music/Degiheugi"">Read more on Last.fm</a>","['Kognitif', 'Guts', 'Boztown', 'Chinese Man']"
515,hiphop,Abra,352101,6502821,"Gabrielle Olivia Mirville (born March 30, 1989), known professionally as Abra, is an American singer and songwriter. She is currently signed to Polo Grounds Music and RCA Records, and was formerly signed to Awful Records.

Born in Queens, New York into a family of missionaries, Abra spent her first eight years in London, where her parents built the church they would ultimately work in. Her introduction to singing came from that church, too, where her father was pastor and her mother oversaw praise and worship. <a href=""https://www.last.fm/music/Abra"">Read more on Last.fm</a>","['Kelela', 'Kilo Kish', 'Ojerime', 'Tei Shi']"
519,hiphop,Niontay,58351,754721," <a href=""https://www.last.fm/music/Niontay"">Read more on Last.fm</a>","['Mike', 'JADASEA', 'Navy Blue', 'YUNGMORPHEUS']"
522,hiphop,Nate Good,41385,537589,"Nate Good is a recording artist based in Wilmington, NC. A hip-hop artist and songwriter, Nate's music reflects his lifelong love of diverse artists and musical styles—Motown, 60s rock and roll, 90s hip-hop, acoustic pop—and it is itself highly varied, both stylistically and thematically.

He sings about the process of creativity, about love and relationships, about the tension between an artist’s private and public personae. His work is unified by a complex aesthetic <a href=""https://www.last.fm/music/Nate+Good"">Read more on Last.fm</a>","['Justin Stone', 'Hendersin', 'Nic D', 'mike.']"
526,hiphop,Benny the Butcher,423477,17786755,"Jeremie Pennick (born November 27, 1984), known professionally as Benny the Butcher, is an American rapper from Buffalo, New York, USA. He is part of the hip hop group Griselda with Westside Gunn and Conway The Machine, and is part of the collective Black Soprano Family. Benny The Butcher knew by the age of ten that he wanted to be involved with music. He self-released his mixtapes in the late 2000s as B.E.N.N.Y., including The Mayor's Back and Chains Bond. <a href=""https://www.last.fm/music/Benny+the+Butcher"">Read more on Last.fm</a>","['Conway the Machine', 'Westside Gunn', '38 Spesh', 'Griselda']"
530,hiphop,KLIM,137159,630278,"There are more than one artist with the name Klim.

1. 久里夢 (Kurimu/KLIM) is the indie name of GIZA label artist 上木彩矢 (Kamiki Aya/Aya Kamiki)

2. KLIM is also known as KLIM Beats, a beatmaker/producer from Ukraine (Kyiv city), raised on and influenced by classic boom bap hiphop. <a href=""https://www.last.fm/music/KLIM"">Read more on Last.fm</a>","['Phlocalyst', 'Imagiro', 'SamuW', 'Glimlip']"
531,hiphop,dua saleh,166179,1675531,"Dua Saleh (they/xe) is a Sudanese-American recording artist, songwriter, poet, and actor based in Minneapolis, Minnesota, U.S. Their debut EP Nūr was released in January 2019 by the Against Giants record label to critical acclaim.

Saleh, who came to the United States from Sudan as a child, wrote poetry from an early age. While attending Augsburg University, xe began to experiment with music, eventually releasing a demo in 2017. Shortly after, xe began to work with local producer Psymun and began performing their music live <a href=""https://www.last.fm/music/dua+saleh"">Read more on Last.fm</a>",[]
533,hiphop,Jaden,994415,40021270,"Jaden Christopher Syre Smith (born July 8, 1998) is an American actor, rapper, singer and songwriter. He is the son of Jada Pinkett Smith and Will Smith. Jaden Smith's first movie role was with his father in the 2006 film The Pursuit of Happyness. He also acted in the 2008 remake of The Day the Earth Stood Still and the 2010 remake of The Karate Kid, and was in the 2013 film After Earth with his father.
Smith released his debut album, Syre in late 2017. <a href=""https://www.last.fm/music/Jaden"">Read more on Last.fm</a>","['Aminé', '¿Téo?', 'Jaden Smith', 'Rich Brian']"
535,hiphop,Rae Khalil,52243,357979," <a href=""https://www.last.fm/music/Rae+Khalil"">Read more on Last.fm</a>",[]
536,hiphop,Ray Lozano,137463,761484,"Ray Lozano is a Filipino-German musician, singer, producer and multi-instrumentalist based in Köln. <a href=""https://www.last.fm/music/Ray+Lozano"">Read more on Last.fm</a>","['daste.', 'rum.gold', 'Pale Jay', 'Cleo Sol']"
538,hiphop,emawK,101862,923809," <a href=""https://www.last.fm/music/emawK"">Read more on Last.fm</a>",[]
539,hiphop,Kill Bill: The Rapper,105652,5667691,"Kill Bill is an internet culture junkie and nostalgic rap musician who falls in love with fictional women. <a href=""https://www.last.fm/music/Kill+Bill:+The+Rapper"">Read more on Last.fm</a>","['Rav', 'Ben Beal', 'Kill Bill', 'Jakey']"
542,hiphop,Smoke DZA,371735,3139509,"
Sean Pompey (Born in Harlem, New York NY, United States), better known by his stage name Smoke DZA, is an American rapper who first gained recognition in 2009 with the release of his first mixtape Substance Abuse. He followed it with the release of his 2010 mixtape George Kush Da Button, his release in 2011, Rolling Stoned, and his 2012 release, Rugby Thompson (prod. Harry Fraud). Smoke DZA often references movies and marijuana with a slow, laidback style of rap. <a href=""https://www.last.fm/music/Smoke+DZA"">Read more on Last.fm</a>","['Curren$y', 'Statik Selektah', 'Elcamino', '38 Spesh']"
545,hiphop,mynameisntjmack,202383,1216298,"mynameisntjmack is a Virginian rapper whose popularity blew up with the release of the LP THE LORDS OF SOUNDS AND LESSER THINGS in 2022 on May 20th. Previous to this, mynameisntjmack had dropped a few singles and an EP called Go Away. In addition to this, he dropped his debut album in 2019 called Sweetboi. <a href=""https://www.last.fm/music/mynameisntjmack"">Read more on Last.fm</a>","['Blvck Svm', 'jev.', 'tg.blk', 'ARDN']"
551,hiphop,Ameer Vann,203303,3253588,"Ameer Vann is a rapper from Houston, TX, and former member of the rap collective/boyband BROCKHAMPTON with high school friends Kevin Abstract and Matt Champion. Ameer started making music in his freshman year, around the time he met Abstract. <a href=""https://www.last.fm/music/Ameer+Vann"">Read more on Last.fm</a>","['BROCKHAMPTON', '99 NEIGHBORS', 'Kevin Abstract', 'Merlyn Wood']"
553,hiphop,Lava La Rue,206414,1618201,"Aiwa Laurel D-G (More commonly known as Ava Laurel, or stage name Lava La Rue) is a London based visual artist and musician and founder of NiNE8 collective. Lava La Rue, west London rapper and singer is a jack of all trades; Under their belt at the age of 20, they've set to continue making a positive impact on the UK art scene. Their pronouns are they/them/he/her. <a href=""https://www.last.fm/music/Lava+La+Rue"">Read more on Last.fm</a>","['Biig Piig', 'Rosie Lowe', 'Greentea Peng', 'yaya bey']"
556,hiphop,Giraa,5767,52834," <a href=""https://www.last.fm/music/Giraa"">Read more on Last.fm</a>","['lackingluv', 'ayowitty', 'Bhm Zone', 'kaisani']"
558,hiphop,yeat,1132569,237364328,"Noah Olivier Smith, born on February 26, 2000, in Irvine, California, to a Mexican father and Romanian mother, better known by his stage name Yeat, is an American recording artist and producer from Lake Oswego, Oregon. 


He began rapping in 2017 as Lil Yeat, and, after a slew of singles, released his first EP, Deep Blue Strips, in late 2018. In 2019, Yeat would gain further publicity after “Stay Up,” the lead single off his second project and first mixtape, Wake Up Call, received a music video on the popular YouTube channel ELEVATOR. <a href=""https://www.last.fm/music/yeat"">Read more on Last.fm</a>",[]
559,hiphop,eavil,28,98," <a href=""https://www.last.fm/music/eavil"">Read more on Last.fm</a>","['Sambata', 'VIJAY DK', 'MC GAWTHI', 'DRV']"
560,hiphop,Boztown,63456,370885,"In 2016, Boztown took a turn and progressed in the Beatmaking, the Sample-based on a Hip-hop tempo in Soul/Funk/Jazz colors from the 50s to 70s.
The search for an authentic sound and the musical influence of black American culture are the unconditional foundations of the project.
From the vintage sample rhythm of a vintage beat, on a vintage mix, for catchy music, punchy and Vint ...! 

https://boztown.bandcamp.com/
https://www.facebook.com/Boztownmusic <a href=""https://www.last.fm/music/Boztown"">Read more on Last.fm</a>","['Degiheugi', 'Poldoore', 'Kognitif', 'Roger Molls']"
565,hiphop,Wynne,72267,515455,"Call her a poison apple to hip-hop, Wynne raps with venom, fury, intensity, and consciousness all at once. Born and raised in a Portland suburb, she grew up an outsider, finding solace in her favorite rappers. While studying social justice and music at University of Oregon, she started releasing music of her own online. After a couple years of sparse singles, viral moments, building with Portland's local hip-hop community, and cosigns from some of Hip-Hop’s greats, Wynne is here to deliver her debut mixtape. <a href=""https://www.last.fm/music/Wynne"">Read more on Last.fm</a>","['KOTA The Friend', 'Armani Caesar', 'Chris Patrick', 'Jack Harlow']"
574,hiphop,Conspirituality,1425,21497,"Conspirituality can refer to more than one artist.

PODCAST - Dismantling New Age cults, wellness grifters, and conspiracy-mad yogis. At best, the conspirituality movement attacks public health efforts in times of crisis. At worst, it fronts and recruits for the fever-dream of QAnon.As the alt-right and New Age horseshoe toward each other in a blur of disinformation, clear discourse, and good intentions get smothered. Charismatic influencers exploit <a href=""https://www.last.fm/music/Conspirituality"">Read more on Last.fm</a>","['The Phormula', 'Sick Since', 'East Coast Avengers', 'The Lost Children of Babylon']"
575,hiphop,AZ,508130,5778337,"Anthony Cruz (born March 9, 1972 in Brooklyn, New York), better known by his stage name AZ, is a Grammy-nominated rapper currently residing in Englewood, New Jersey. He is mainly known for his close association with Nas, his membership in the hip hop supergroup The Firm, and his multi-syllabic rhyming pattern and deep content within his solo albums. He released his debut album, Doe or Die, in 1995 and has since released 1998's Pieces of a Man, 2001's 9 Lives, 2002's Aziatic, 2005's A. <a href=""https://www.last.fm/music/AZ"">Read more on Last.fm</a>","['Kool G Rap', 'Cormega', 'Big L', 'Nas']"
581,hiphop,Reverie,31906,304809,"There are many artists of the same name.

Reverie is a progressive black/death metal band from Copenhagen, Denmark playing music in the vein of/but not exclusive to Master's Hammer, Bethlehem.  

Chicago band ""Reverie"" became Model Stranger back in November 2009.  They are responsible for the album Shaky Coma

The Reverie out of Montana is on last fm as Reverie (acoustic black metal)  their site is www.myspace.com/thetruereverie

One is a trio from Australia who were together for a short while consisting of Chris and Lisa Atwood <a href=""https://www.last.fm/music/Reverie"">Read more on Last.fm</a>","['Vel the Wonder', 'Gavlyn', 'Dilated Peoples', 'DJ Honda']"
585,hiphop,Dj Flipcyide,2492,7523,"DJ FLIPCYIDE AKA: THA BIGG BO$$ MAN BORN AND RAISED IN THE 915 BUT NOW REPRESENTS FOR THE WHOLE STATE OF TEXAS IS A VETERAN DJ FOR 16 YEARS AND IS NO STRANGER ON HOW TO ROCK THE SPOT ON ANY KIND OF TUNTABLES OR PUT A HOT MIXTAPE TOGETHOR BETTER THAN HIS COMPETITION, WITH ACTUAL REAL HOSTING, MIXING, SCRATCHING, ENGINERING AND MASTERING.
DJ FLIPCYIDE HAS ALREADY WORKED WITH OR IS IN THE PROGRESS OF WORKING WITH:
PAUL WALL
SPIDER LOC FROM G-UNIT
TWO FIVE(50 CENTS COUSIN) <a href=""https://www.last.fm/music/Dj+Flipcyide"">Read more on Last.fm</a>","['Jay Royale', 'ILL Conscious', 'Taiyamo Denku', 'Juju NVM']"
588,hiphop,kanii,516140,13041195,"Kanii is a 19 year old rapper. He was born August 2, 2005 in Washington, D.C. He is best known for his song ""I Know,"" which went viral on TikTok and charted in multiple territories. You can check out more of his other songs on Kanii Archive. <a href=""https://www.last.fm/music/kanii"">Read more on Last.fm</a>","['KANII ARCHIVE', 'Lumi Athena', 'Capzlock', 'XXANTERIA']"
589,hiphop,yeyts.,141234,838512," <a href=""https://www.last.fm/music/yeyts."">Read more on Last.fm</a>","['Enjo', 'tusken.', 'otesla', 'Konteks']"
592,hiphop,Jim,46412,321722,"There are at least two artists called Jim

1. Debuting in 2021 on the folk-informed Falling That You Know EP, Jim is the latest alias of songwriter, multi-instrumentalist and renowned DJ Jim Baron. Famed as co-founder and musical director of festival-stunning favourites Crazy P, his latest Jim project is a musical journey unlike anything he has done before.

Debut album Love Makes Magic was released on June 2, 2023 

2. French Hip-Hop producer since 2009. <a href=""https://www.last.fm/music/Jim"">Read more on Last.fm</a>","['Kill Emil', 'Mononome', 'Roger Molls', 'Mr. Green']"
603,hiphop,Jelex,6367,63476,"Jelex is a Singer/Songwriter from Amsterdam/Holland,  currently playing in the duo Hotel Wazinsky. <a href=""https://www.last.fm/music/Jelex"">Read more on Last.fm</a>","['SACHIHIRO(幸福)', '666Swish', 'KYJU', 'Nhelson']"
606,hiphop,Lance Redeker,17474,86043," <a href=""https://www.last.fm/music/Lance+Redeker"">Read more on Last.fm</a>","['Ori Rose', 'papichuloteej', 'Hamond', 'Palmertrees']"
610,hiphop,Son Of Saturn,1417,30401,"In the year 1982, under the Autumn equinox, a beam of light was laid into a vessel somewhere in the indigenous lands of Oklahoma. Frequently splitting his seemingly linear time between California and Kansas City, as a result of his parents separation, our subject became thirsty for knowledge at a young age. By the time he had spent 13 full years among us, he had immersed himself in the culture of the underground. This meant skating, punk rock, graffiti, and a new fondness for alcohol and drugs. <a href=""https://www.last.fm/music/Son+Of+Saturn"">Read more on Last.fm</a>","['Akashik Ancestorz', 'Cosmic Crusader', 'Danegurous', 'Masta Buildas']"
611,hiphop,skaiwater,236605,5089825,"Tyler Brooks (born August 31, 2000), known professionally as skaiwater (formerly La Rica, Lil Austin, trunksXO & skaifantasy*), is a singer, producer, DJ, and engineer from Nottingham, United Kingdom. They are best known for their melodic jersey club hits #miles, which had a remix featuring Lil Uzi Vert, and #eyes. 

Skai has been consistently making music since late 2016, and as of 2024, they have garnered nearly a million monthly listeners on Spotify. <a href=""https://www.last.fm/music/skaiwater"">Read more on Last.fm</a>","['Cash Cobain', 'Ian', 'Bktherula', 'Hardrock']"
621,hiphop,Offset,1115610,29070133,"There are various artists with this name, including: 
1) Offset is American rapper Kiari Kendrell Cephus (born 14 December 1991); 
2) Offset is one of the names used by British techno producer Luke Slater;  
3) Offset is an Italian ambient artist; 
4) Offset is French artist Philippe Juven; 
5) Offset is a French electro artist from Paris. 

1) Offset is American rapper Kiari Kendrell Cephus (born 14 December 1991). He rose to prominence as part of the hip hop group Migos, alongside Quavo and Takeoff. <a href=""https://www.last.fm/music/Offset"">Read more on Last.fm</a>","['Quavo', 'Migos', 'Travi$ Scott', '21 Savage']"
623,hiphop,Salimata,7836,50734," <a href=""https://www.last.fm/music/Salimata"">Read more on Last.fm</a>","['iblss', 'CLBRKS', 'phiik', 'Cletus Strap']"
627,hiphop,Lakeyah,94743,916579,"Lakeyah Danaee Robinson (born February 28, 2001), known mononymously as Lakeyah, is an American rapper. Born and raised in Milwaukee, Wisconsin, she began rapping at the age of 15. At 18, she moved to Atlanta and was signed to Quality Control Music. In 2021, she was announced as part of the XXL magazine freshman class, the first from Milwaukee. <a href=""https://www.last.fm/music/Lakeyah"">Read more on Last.fm</a>","['City Girls', 'Lola Brooke', 'Kash Doll', 'KenTheMan']"
628,hiphop,Foxy Brown,316267,2390297,"Inga DeCarlo Fung Marchand (born September 6, 1978), better known by her stage name Foxy Brown, is an American rapper. She is known for her solo work as well as numerous collaborations and a brief stint as part of hip-hop supergroup The Firm. Brown has faced many obstacles during her rise to fame, including feuds with other rappers, personal tragedy and run-ins with the law, thus being labeled as one of the more controversial female rappers. She has released four solo albums: 1996's Ill Na Na <a href=""https://www.last.fm/music/Foxy+Brown"">Read more on Last.fm</a>","[""Lil' Kim"", 'Trina', 'Remy Ma', 'Da Brat']"
